paper,year,DOI_PMID,enzyme,claimed_function,substrate,assay,purified_protein,SAM,isotope_SAM,chemical_product,direct_grade,major_limitation,A_B_relevance
Maldonato et al. TMT1A/TMT1B liver,2023,"PMID 37137720",A and B,thiol S-methylation,"TSL; DTT; 4-chlorothiophenol; mertansine",recombinant activity and product analysis,yes,yes,no,yes,A,substrate-specific quantitative A/B comparison incomplete,establishes both paralogs as thiol methyltransferases
Maldonato et al. human METTL7B alkyl thiol methyltransferase,2021,"PMID 33649426",B,thiol S-methylation,"H2S; TSL; L-penicillamine; captopril",recombinant time/concentration-dependent activity plus SAH inhibition and D98A,yes,yes,no,yes,A,full numerical table extraction still pending,establishes B catalysis and catalytic-loss control
Robey et al. thiol HDAC inhibitor resistance,2024,"PMID 38151817; PMCID PMC11223745; DOI 10.1158/1535-7163.MCT-23-0144",A and B,HDAC-thiol metabolism/resistance,"reduced romidepsin direct; largazole OKI-005 KD5170 NCH-51 cellular probes","purified-enzyme LC-MS for reduced romidepsin; cellular resistance and cellular product",yes,yes,no,"monomethylated romidepsin in vitro; dimethylated romidepsin in cells",A for romidepsin direct product,"other HDAC-thiol probes are not purified-substrate tests; single romidepsin concentration and no kinetics",matched A/B purified romidepsin result plus differential cellular resistance
Shentu et al. mechanosensitive endothelial METTL7A,2026,"DOI 10.1161/CIRCULATIONAHA.125.075682; PMID 42578282",A,m7G RNA writer,"KLF4; NFKBIA",HA-CLIP plus d3-SAM LC-MS/MS,affinity-purified preparation,yes,yes,d3-m7G,A with attribution caveat,mock purification/catalytic mutant/exact G absent,B not counter-tested
Wang et al. adipocyte exosomal lncRNAs,2022,"DOI 10.1186/s13046-021-02209-w; PMID 34980213",A,m6A RNA writer,"LOC606724; SNHG1",generic methyltransferase kit and anti-m6A dot blot,yes,yes,no,no,B,no isotope/nucleotide-resolved m6A,B not tested
Jin et al. CORIN,2024,"DOI 10.1038/s41368-024-00303-1; PMID 38782892",A,m6A regulation,CORIN,MeRIP-qPCR/RNA stability/reporter,no,no,no,no,C,cellular perturbation is not direct methyl transfer,B not tested
piR48444 METTL7A/eIF4E BMP2,2026,"PMID 41611981",A,m6A regulation,BMP2,cellular interaction/MeRIP/translation,no,no,no,no,C,direct product chemistry absent,B not tested
METTL7A RNA claims corpus,various,source-specific,A,m6A regulation,"CIDEC; SLC1A5; PLSCR1; CXCR4; other transcripts",cellular KD/OE RIP/MeRIP/reporters,no,variable,no,no,C or D,no purified isotope-resolved product,B not tested
TMT1A conservation across species,2024,"DOI 10.1016/j.cbi.2024.110989; PMID 38574836; PMCID PMC11056289; preprint PMID 38076968",A orthologs,conserved HDAC-thiol metabolism,"romidepsin; KD5170; NCH-51","stable HEK293 resistance assays; culture-medium LC-MS/MS dimethylated romidepsin",no,"endogenous only",no,yes,"cellular/product evidence","not purified enzyme; GI50/resistance cannot establish direct catalysis for KD5170 or NCH-51",supports conserved A function not B selectivity
Netarsudil supplied lab result,2026,unpublished USER/LAB-SUPPLIED,A and B,B-selective inhibition,netarsudil,"matched TSL assay: spheroplast preparation 0.25 mg/mL; 150 uL; TSL 100 uM; SAM 1 mM; D5-TSL 5 uM; DCMB 25 uM listed with role/co-incubation unresolved; 45 min",no,yes,no,no,functional anchor,"raw curves confidence intervals A assay ceiling controls and exact preparation absent",B-selective anchor IC50 approximately 40 uM
DCMB/TMT evidence,2023 and historical,"PMID 37137720 and cited historical studies",A and B,A-selective inhibition,DCMB,matched thiol activity and inhibition,varied,yes,no,no,functional anchor,binding mechanism unresolved,A-favored anchor
