compound,exact_identity_or_speciation,paralog,classification,concentration,SAM,pH,protein_preparation,time,readout,controls,assay_sensitivity_or_detection_limit,source,exact_location,caveat
TSL,7alpha-thiospironolactone,METTL7A,DIRECT_POSITIVE,"1-1000 uM kinetic range","100 uM","7.0","purified N-GST-METTL7A; DMPG reconstituted; 0.07 mg/mL","30 min","LC-MS/MS direct TMSL/TMSL-D7","boiled enzyme and no-substrate baselines in screening workflow","NOT_REPORTED",SRC-001,"Fig 4C; Methods pp 13-15; Results p 23","Km 39.41 uM; single-time endpoint fit"
TSL,7alpha-thiospironolactone,METTL7B,DIRECT_POSITIVE,"1-1000 uM kinetic range","100 uM","7.0","purified N-GST-METTL7B; DMPG reconstituted; 0.07 mg/mL","30 min","LC-MS/MS direct TMSL/TMSL-D7","boiled enzyme and no-substrate baselines in screening workflow","NOT_REPORTED",SRC-001,"Fig 4C; Methods pp 13-15; Results p 23","Km 32.50 uM; single-time endpoint fit"
TSL,7alpha-thiospironolactone,METTL7B,DIRECT_POSITIVE,"38-500 uM","50 uM","7.0","purified N-His-GST-METTL7B; DMPG reconstituted","1 h","MTase-Glo SAH/byproduct luminescence","buffer and boiled-enzyme subtraction","NOT_REPORTED",SRC-007,"Fig 8A; Methods pp 11-12","Km 48.9 +/- 5.5 uM; indirect byproduct readout"
captopril,captopril free thiol,METTL7A,DIRECT_POSITIVE,"1 mM screen","100 uM","7.0","purified N-GST-METTL7A; DMPG reconstituted; 0.07 mg/mL","1 h","MTase-Glo SAH/byproduct luminescence","active-minus-boiled and no-substrate baseline","NOT_REPORTED",SRC-001,"Fig 5; Methods p 15; Results p 24","Screen positive; no A captopril kinetic series"
captopril,captopril free thiol,METTL7B,DIRECT_POSITIVE,"10 mM","15.625-1000 uM SAM","7.0","purified N-His-GST-METTL7B; DMPG reconstituted","25 min","LC-MS/MS direct S-methyl-captopril","no-enzyme and no-SAM controls described in validation workflow","NOT_REPORTED",SRC-007,"Fig 6A; Methods pp 9-10","SAM Km 89.8 +/- 9.2 uM; fixed high captopril"
DTT,dithiothreitol; two thiols,METTL7A,DIRECT_POSITIVE,"1 mM screen","100 uM","7.0","purified N-GST-METTL7A; DMPG reconstituted; 0.07 mg/mL","1 h","MTase-Glo SAH/byproduct luminescence","active-minus-boiled and no-substrate baseline","NOT_REPORTED",SRC-001,"Fig 5; Methods p 15; Results p 24","Product site/stoichiometry unresolved"
DTT,dithiothreitol; two thiols,METTL7B,DIRECT_POSITIVE,"15.625-500 uM","50 uM","7.0","purified N-His-GST-METTL7B; DMPG reconstituted","1 h","MTase-Glo SAH/byproduct luminescence","buffer and boiled-enzyme subtraction","NOT_REPORTED",SRC-007,"Fig 8B; Methods pp 11-12","Km 25.5 +/- 4.5 uM; product site/stoichiometry unresolved"
4-chlorothiophenol,4-chlorobenzenethiol,METTL7A,DIRECT_POSITIVE,"1 mM screen","100 uM","7.0","purified N-GST-METTL7A; DMPG reconstituted; 0.07 mg/mL","1 h","MTase-Glo SAH/byproduct luminescence","active-minus-boiled and no-substrate baseline","NOT_REPORTED",SRC-001,"Fig 5; Methods p 15; Results p 24","Screen positive; direct chemical product identity not reported"
4-chlorothiophenol,4-chlorobenzenethiol,METTL7B,NOT_TESTED,"NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_APPLICABLE","NOT_APPLICABLE",SRC-001,"Fig 5 tests TMT1A only","No matched B result recovered"
mertansine,DM1 free thiol,METTL7A,DIRECT_POSITIVE,"1 mM screen","100 uM","7.0","purified N-GST-METTL7A; DMPG reconstituted; 0.07 mg/mL","1 h","MTase-Glo SAH/byproduct luminescence","active-minus-boiled and no-substrate baseline","NOT_REPORTED",SRC-001,"Fig 5; Methods p 15; Results p 24","Screen positive; no kinetic series"
mertansine,DM1 free thiol,METTL7B,DIRECT_POSITIVE,"reported positive; exact condition location unresolved","NOT_REPORTED","NOT_REPORTED","recombinant/cellular evidence reported","NOT_REPORTED","biochemical activity","NOT_REPORTED","NOT_REPORTED",SRC-001,"EXACT_LOCATION = UNRESOLVED","Do not infer matched efficiency"
ST7464AA1 / ST7612AA1,"identity mapping unresolved; names conflict across inherited matrices",METTL7A,NOT_TESTED,"NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_APPLICABLE","NOT_APPLICABLE","UNRESOLVED","EXACT_LOCATION = UNRESOLVED","No requested 2024 primary source supports the inherited methylation/resistance assignment; retained as a provenance problem"
ST7464AA1 / ST7612AA1,"identity mapping unresolved; names conflict across inherited matrices",METTL7B,NOT_TESTED,"NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_APPLICABLE","NOT_APPLICABLE","UNRESOLVED","EXACT_LOCATION = UNRESOLVED","No requested 2024 primary source supports the inherited methylation/resistance assignment; retained as a provenance problem"
