substrate,paralog,construct,expression_purification,lipid_detergent,pH,enzyme_concentration,substrate_concentration_range,SAM_concentration_range,Km,kcat,kcat_per_Km,Ki,IC50,reaction_time,readout,positive_negative,source,exact_figure_table_page,caveat
"7alpha-thiospironolactone (TSL)","METTL7B/TMT1B","N-terminal His-GST-METTL7B full-length fusion","LOBSTR-BL21(DE3) E. coli; Ni-NTA then GSTrapFF; co-purified GST fragments and bacterial chaperones noted","85:1 w/w DMPG:protein; 10 mM CHAPS; 20% glycerol","7.0","not stated for the kinetic curve; related validation assay 0.15 mg/mL","38, 50.6, 67.5, 90, 120, 171.5, 245, 500 uM","50 uM","48.9 +/- 5.5 uM","NOT_REPORTED","NOT_REPORTED","NOT_APPLICABLE","NOT_APPLICABLE","1 h","MTase-Glo SAH/byproduct luminescence","POSITIVE",SRC-007,"Maldonato 2021 Fig 8A and Methods pp. 11-12","Byproduct readout is not substrate-specific product measurement; linearity stated but underlying time/protein data not shown"
"dithiothreitol (DTT)","METTL7B/TMT1B","N-terminal His-GST-METTL7B full-length fusion","LOBSTR-BL21(DE3) E. coli; Ni-NTA then GSTrapFF","85:1 w/w DMPG:protein; 10 mM CHAPS; 20% glycerol","7.0","not stated for the kinetic curve","15.625, 31.25, 62.5, 125, 250, 500 uM","50 uM","25.5 +/- 4.5 uM","NOT_REPORTED","NOT_REPORTED","NOT_APPLICABLE","NOT_APPLICABLE","1 h","MTase-Glo SAH/byproduct luminescence","POSITIVE",SRC-007,"Maldonato 2021 Fig 8B and Methods pp. 11-12","DTT has two thiols; product identity/site and turnover stoichiometry were not resolved"
"hydrogen sulfide; supplied as NaSH","METTL7B/TMT1B","N-terminal His-GST-METTL7B full-length fusion","LOBSTR-BL21(DE3) E. coli; Ni-NTA then GSTrapFF","85:1 w/w DMPG:protein; 10 mM CHAPS; 20% glycerol; handling under nitrogen before incubation","7.0","0.09 mg/mL","curve extends approximately 0-1500 uM NaSH; exact series not enumerated in text","83.3 uM","146.2 +/- 29.2 uM","NOT_REPORTED","NOT_REPORTED","NOT_APPLICABLE","NOT_APPLICABLE","45 min","LC-MS/MS direct methylsulfide after monobromobimane derivatization","POSITIVE",SRC-007,"Maldonato 2021 Fig 8C and Methods p. 10","NaSH/H2S/HS- speciation is pH-dependent; exact substrate series not enumerated"
"SAM with captopril fixed at 10 mM","METTL7B/TMT1B","N-terminal His-GST-METTL7B full-length fusion","LOBSTR-BL21(DE3) E. coli; Ni-NTA then GSTrapFF","85:1 w/w DMPG:protein; 10 mM CHAPS; 20% glycerol","7.0","related validation assay 0.15 mg/mL; kinetic method does not independently restate final concentration","captopril 10 mM","15.625, 31.25, 62.5, 125, 250, 1000 uM","SAM Km 89.8 +/- 9.2 uM","NOT_REPORTED","NOT_REPORTED","NOT_APPLICABLE","NOT_APPLICABLE","25 min","LC-MS/MS direct S-methyl-captopril with d3-S-methyl-captopril internal standard","POSITIVE",SRC-007,"Maldonato 2021 Fig 6A and Methods pp. 9-10","This is a cofactor Km under fixed high captopril, not captopril Km"
"SAH inhibition; captopril 10 mM","METTL7B/TMT1B","N-terminal His-GST-METTL7B full-length fusion","LOBSTR-BL21(DE3) E. coli; Ni-NTA then GSTrapFF","85:1 w/w DMPG:protein; 10 mM CHAPS; 20% glycerol","7.0","same as captopril assay; exact final concentration not independently stated","captopril 10 mM","SAM 10, 50, 100, 200, 500 uM; SAH 0, 10, 100, 250 uM","NOT_APPLICABLE","NOT_REPORTED","NOT_REPORTED","39 uM","NOT_APPLICABLE","25 min","LC-MS/MS direct S-methyl-captopril","INHIBITION_POSITIVE",SRC-007,"Maldonato 2021 Fig 6B and Methods p. 10","n=2 for inhibition curve; competitive interpretation; no uncertainty printed for Ki"
"cysteine","METTL7B/TMT1B","N-terminal His-GST-METTL7B full-length fusion","LOBSTR-BL21(DE3) E. coli; Ni-NTA then GSTrapFF","DMPG reconstitution; 10 mM CHAPS; 20% glycerol","7.0","NOT_REPORTED","1 mM","50 uM","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","1 h","MTase-Glo SAH/byproduct luminescence with buffer-only and boiled-enzyme subtraction","NO_ACTIVITY_DETECTED_UNDER_REPORTED_CONDITIONS",SRC-007,"Maldonato 2021 Table 1, Fig 7, Methods p. 12","A condition-specific screen; no direct cysteine-product LC-MS/MS and no detection limit reported"
"reduced glutathione","METTL7B/TMT1B","N-terminal His-GST-METTL7B full-length fusion","LOBSTR-BL21(DE3) E. coli; Ni-NTA then GSTrapFF; GST affinity tag retained","DMPG reconstitution; 10 mM CHAPS; 20% glycerol","7.0","NOT_REPORTED","1 mM","50 uM","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","1 h","MTase-Glo SAH/byproduct luminescence with buffer-only and boiled-enzyme subtraction","NO_ACTIVITY_DETECTED_UNDER_REPORTED_CONDITIONS",SRC-007,"Maldonato 2021 Table 1 and Methods p. 12","GST tag can bind/sequester glutathione; authors used high glutathione to saturate GST but explicitly request a non-GST construct; not a universal nonsubstrate claim"
"7alpha-thiospironolactone (TSL)","METTL7A/TMT1A","N-GST-METTL7A","recombinant bacterial expression; purified GST-tagged protein","DMPG-containing buffer; initial dilution 10 mM CHAPS and 20% glycerol","7.0","0.07 mg/mL","1, 5, 10, 25, 50, 100, 250, 1000 uM","100 uM","39.41 uM","NOT_REPORTED","NOT_REPORTED","NOT_APPLICABLE","NOT_APPLICABLE","30 min","LC-MS/MS direct TMSL/TMSL-D7 peak-area ratio","POSITIVE",SRC-001,"Russell 2023 Fig 4C; Methods pp. 13-15; Results p. 23","Single-time endpoint Michaelis-Menten fit; uncertainty not printed"
"7alpha-thiospironolactone (TSL)","METTL7B/TMT1B","N-GST-METTL7B","recombinant bacterial expression; purified GST-tagged protein","DMPG-containing buffer; initial dilution 10 mM CHAPS and 20% glycerol","7.0","0.07 mg/mL","1, 5, 10, 25, 50, 100, 250, 1000 uM","100 uM","32.50 uM","NOT_REPORTED","NOT_REPORTED","NOT_APPLICABLE","NOT_APPLICABLE","30 min","LC-MS/MS direct TMSL/TMSL-D7 peak-area ratio","POSITIVE",SRC-001,"Russell 2023 Fig 4C; Methods pp. 13-15; Results p. 23","Orthogonal direct-product remeasurement relative to the 2021 byproduct assay; uncertainty not printed"
"SAM with TSL fixed at 250 uM","METTL7A/TMT1A","N-GST-METTL7A","recombinant bacterial expression; purified GST-tagged protein","DMPG-containing buffer; 10 mM CHAPS and 20% glycerol","7.0","0.07 mg/mL","TSL 250 uM","1, 5, 10, 25, 50, 100, 250, 1000 uM","SAM Km 53.73 uM","NOT_REPORTED","NOT_REPORTED","NOT_APPLICABLE","NOT_APPLICABLE","30 min","LC-MS/MS direct TMSL/TMSL-D7 peak-area ratio","POSITIVE",SRC-001,"Russell 2023 Fig 4A; Methods p. 15; Results p. 23","Cofactor Km under fixed TSL; uncertainty not printed"
