substrate,class,acceptor_atom,proposed_nucleophilic_state,METTL7A,METTL7B,directness,SAM_dependence,major_uncertainty
TSL,thiol,S,thiolate,productive,productive,direct product evidence,yes,matched efficiency
captopril,thiol,S,thiolate,productive,productive,direct product evidence,yes,matched efficiency
DTT,thiol,S,thiolate,productive evidence,activity reported,direct for A,yes,matched B kinetics
4-chlorothiophenol,aryl thiol,S,thiolate,productive evidence,unknown,direct for A,yes,B comparison
mertansine,thiol,S,thiolate,productive evidence,productive evidence,direct/biochemical,yes,quantitative comparison
ST7464AA1/ST7612AA1,HDAC-inhibitor-thiol identity unresolved,S,unknown,NOT_TESTED,NOT_TESTED,provenance unresolved,unknown,"conflicting inherited names; no supporting experiment recovered in the two audited 2024 papers"
KD5170 active thiol,HDAC-inhibitor thiol,S,thiolate,cellular resistance only,cellular resistance only,AMBIGUOUS cellular phenotype,endogenous only,"no purified-substrate or direct methyl-product test"
largazole active thiol,HDAC-inhibitor thiol,S,thiolate,cellular resistance only,weaker/minimal cellular resistance,AMBIGUOUS cellular phenotype,endogenous only,"no purified-substrate or direct methyl-product test"
OKI-005 active thiol,HDAC-inhibitor thiol,S,thiolate,cellular resistance only,cellular resistance only,AMBIGUOUS cellular phenotype,endogenous only,"no purified-substrate or direct methyl-product test"
NCH-51,HDAC-inhibitor thiol,S,thiolate,conserved cellular resistance,TMT1B not tested,AMBIGUOUS cellular phenotype,endogenous only,"no purified-substrate or direct methyl-product test"
reduced romidepsin,HDAC-inhibitor dithiol,S,thiolate,DIRECT_POSITIVE,DIRECT_POSITIVE,"purified enzyme LC-MS monomethylated product plus cellular dimethylated product",yes,"which sulfur; estimated reduced-substrate concentration; no kinetics"
cysteine,thiol,S,thiolate,NO_ACTIVITY_DETECTED_UNDER_REPORTED_CONDITIONS,NO_ACTIVITY_DETECTED_UNDER_REPORTED_CONDITIONS,negative byproduct screens,yes,"1 mM condition-specific negatives; no detection limit; not universal nonsubstrates"
glutathione,thiol,S,thiolate,NO_ACTIVITY_DETECTED_UNDER_REPORTED_CONDITIONS,NO_ACTIVITY_DETECTED_UNDER_REPORTED_CONDITIONS,negative byproduct screens,yes,"1 mM condition-specific negatives; GST-tag sequestration caveat; not universal nonsubstrates"
6-mercaptopurine,heteroaryl thiol/thione,S,tautomer-dependent,NOT_TESTED,NOT_TESTED,computational/limited only,unknown,"no biochemical experiment recovered; reactive tautomer unresolved"
KLF4,RNA,guanine N7,neutral guanine N7,d3-m7G preparation-dependent,not tested,Grade A with caveat,yes,polypeptide attribution and exact G
NFKBIA,RNA,guanine N7,neutral guanine N7,d3-m7G preparation-dependent,not tested,Grade A with caveat,yes,polypeptide attribution and exact G
LOC606724,RNA,adenine N6,amine with proton-transfer control,biochemical antibody signal,not tested,Grade B,yes,chemically resolved product absent
SNHG1,RNA,adenine N6,amine with proton-transfer control,biochemical antibody signal,not tested,Grade B,yes,chemically resolved product absent
CORIN,RNA,adenine N6,amine with proton-transfer control,cellular association,not tested,Grade C,indirectly implicated,direct transfer absent
BMP2,RNA,adenine N6,amine with proton-transfer control,cellular association,not tested,Grade C,indirectly implicated,direct transfer absent
SLC1A5,RNA,adenine N6,amine with proton-transfer control,cellular association,not tested,Grade C,indirectly implicated,direct transfer absent
PLSCR1/CXCR4,RNA,adenine N6,amine with proton-transfer control,cellular association,not tested,Grade C,indirectly implicated,direct transfer absent
netarsudil,inhibitor,none established,not applicable,no detectable inhibition,B IC50 approximately 40 uM,USER/LAB-SUPPLIED functional anchor,"SAM/TSL assay: spheroplast preparation 0.25 mg/mL; 150 uL; TSL 100 uM; SAM 1 mM; D5-TSL 5 uM; DCMB 25 uM listed with role/co-incubation unresolved; 45 min","raw curves confidence interval A assay ceiling and controls absent"
