reference,torsion,atom_indices,pose_deg,mmff_reference_deg,absolute_deviation_deg
7A_CORRECTED_LOWEST_STRAIN,1,24-0-16-12,-128.08807258477606,-179.76776563177376,51.6796930469977
7A_CORRECTED_LOWEST_STRAIN,2,16-0-24-2,10.947310159578729,0.16094418457903834,10.786365974999683
7A_CORRECTED_LOWEST_STRAIN,3,15-3-9-1,0.9646301489352755,0.2567612616437907,0.7078688872914825
7A_CORRECTED_LOWEST_STRAIN,4,9-3-15-17,-68.51923599741124,179.87568204575572,111.60508195683303
7A_CORRECTED_LOWEST_STRAIN,5,8-6-7-10,170.8105441253926,126.636344568649,44.17419955674359
7A_CORRECTED_LOWEST_STRAIN,6,7-6-8-4,-106.83996554128763,-111.81673811147297,4.9767725701853465
7A_CORRECTED_LOWEST_STRAIN,7,7-6-9-1,78.55929256623614,-93.86917928951962,172.4284718557558
7A_CORRECTED_LOWEST_STRAIN,8,13-12-16-0,-121.07386246390678,89.86621492889174,149.05992260720149
7A_CORRECTED_LOWEST_STRAIN,9,23-22-24-0,89.0772327833362,179.7733258877197,90.6960931043835
7B_ACCEPTED_REPRESENTATIVE,1,24-0-16-12,93.59152934342461,-179.76776563177376,86.6407050248016
7B_ACCEPTED_REPRESENTATIVE,2,16-0-24-2,10.404645984972314,0.16094418457903834,10.243701800393268
7B_ACCEPTED_REPRESENTATIVE,3,15-3-9-1,0.741670705368987,0.2567612616437907,0.4849094437252006
7B_ACCEPTED_REPRESENTATIVE,4,9-3-15-17,176.42889081495593,179.87568204575572,3.446791230799789
7B_ACCEPTED_REPRESENTATIVE,5,8-6-7-10,128.96962454059806,126.636344568649,2.333279971949082
7B_ACCEPTED_REPRESENTATIVE,6,7-6-8-4,-150.5543850064502,-111.81673811147297,38.73764689497722
7B_ACCEPTED_REPRESENTATIVE,7,7-6-9-1,39.27636106956617,-93.86917928951962,133.14554035908577
7B_ACCEPTED_REPRESENTATIVE,8,13-12-16-0,-146.14167031047776,89.86621492889174,123.9921147606305
7B_ACCEPTED_REPRESENTATIVE,9,23-22-24-0,89.83732380249685,179.7733258877197,89.93600208522284
