system,enzyme,state,seed,starting_strain_kcal_mol,final_strain_kcal_mol,strain_change_kcal_mol,ligand_symmetry_rmsd_a,centroid_displacement_a,ligand_sam_min_distance_a,protein_pairs_lt_1p8,sam_pairs_lt_2,sam_heavy_rmsd_a,sidechain_rms_displacement_a,sidechain_max_displacement_a,starting_contact_count,final_contact_count,retained_starting_contacts,burial_reduction_percent,vina_local_final_energy,hydrogen_bonds,ionic_interactions,polar_distance_contacts,gate_pass,rejection_reasons
7B_neutral,7B,neutral,314159,14.036992357500793,13.86993890942847,-0.16705344807232336,0.13175121385756267,0.08397746958514168,3.822409057126147,0,0,0.0,0.31026229248950815,1.3333840407024526,10,10,10,60.66691455569239,-7.131,ligand_donor:6651:N5-GLN151:O:3.01:158.5;protein_donor:GLU207:N-6651:N6:3.06:175.4;protein_donor:LYS196:NZ-6651:O2:3.14:121.8,,ARG206:NH1-N4:3.29;GLN151:O-N5:3.01;GLU207:N-N6:3.06;LYS196:NZ-O2:3.14,True,
7B_neutral,7B,neutral,271828,14.036992357500793,13.86993890942847,-0.16705344807232336,0.13175121385756267,0.08397746958514168,3.822409057126147,0,0,0.0,0.31026229248950815,1.3333840407024526,10,10,10,60.66691455569239,-7.131,ligand_donor:6651:N5-GLN151:O:3.01:158.5;protein_donor:GLU207:N-6651:N6:3.06:175.4;protein_donor:LYS196:NZ-6651:O2:3.14:121.8,,ARG206:NH1-N4:3.29;GLN151:O-N5:3.01;GLU207:N-N6:3.06;LYS196:NZ-O2:3.14,True,
7B_neutral,7B,neutral,161803,14.036992357500793,13.86993890942847,-0.16705344807232336,0.13175121385756267,0.08397746958514168,3.822409057126147,0,0,0.0,0.31026229248950815,1.3333840407024526,10,10,10,60.66691455569239,-7.131,ligand_donor:6651:N5-GLN151:O:3.01:158.5;protein_donor:GLU207:N-6651:N6:3.06:175.4;protein_donor:LYS196:NZ-6651:O2:3.14:121.8,,ARG206:NH1-N4:3.29;GLN151:O-N5:3.01;GLU207:N-N6:3.06;LYS196:NZ-O2:3.14,True,
7B_plus1,7B,plus1,314159,26.230620423086805,25.57891442373419,-0.6517059993526146,0.11727343613764121,0.03328432094487144,3.757028213894593,0,0,0.0,0.32550846465703515,1.2840019470390218,10,10,10,61.284871910566316,-7.202,protein_donor:GLU207:N-6651:N6:3.09:174.4;protein_donor:LYS196:NZ-6651:O2:2.98:121.2,,ARG206:NH1-N4:3.24;GLN151:O-N5:3.15;GLU207:N-N6:3.09;LYS196:NZ-O2:2.98,False,strain
7B_plus1,7B,plus1,271828,26.230620423086805,25.57891442373419,-0.6517059993526146,0.11727343613764121,0.03328432094487144,3.757028213894593,0,0,0.0,0.32550846465703515,1.2840019470390218,10,10,10,61.284871910566316,-7.202,protein_donor:GLU207:N-6651:N6:3.09:174.4;protein_donor:LYS196:NZ-6651:O2:2.98:121.2,,ARG206:NH1-N4:3.24;GLN151:O-N5:3.15;GLU207:N-N6:3.09;LYS196:NZ-O2:2.98,False,strain
7B_plus1,7B,plus1,161803,26.230620423086805,25.57891442373419,-0.6517059993526146,0.11727343613764121,0.03328432094487144,3.757028213894593,0,0,0.0,0.32550846465703515,1.2840019470390218,10,10,10,61.284871910566316,-7.202,protein_donor:GLU207:N-6651:N6:3.09:174.4;protein_donor:LYS196:NZ-6651:O2:2.98:121.2,,ARG206:NH1-N4:3.24;GLN151:O-N5:3.15;GLU207:N-N6:3.09;LYS196:NZ-O2:2.98,False,strain
7A_neutral_transfer,7A,neutral,314159,14.025548079028923,17.285072806071824,3.2595247270429013,7.806882868190546,6.8172409021026255,6.8397956840829695,0,0,0.0,0.6701035018002816,1.9062623114356532,9,7,2,49.855979127427844,-5.05,ligand_donor:6651:N5-GLU154:OE2:3.25:131.6;protein_donor:GLU207:N-6651:N6:3.06:159.4,,GLU154:OE2-N5:3.25;GLU207:N-N6:3.06;GLU207:OE2-N6:3.44,False,centroid_migration;ligand_rmsd;contact_loss;strain
7A_neutral_transfer,7A,neutral,271828,14.025548079028923,17.285072806071824,3.2595247270429013,7.806882868190546,6.8172409021026255,6.8397956840829695,0,0,0.0,0.6701035018002816,1.9062623114356532,9,7,2,49.855979127427844,-5.05,ligand_donor:6651:N5-GLU154:OE2:3.25:131.6;protein_donor:GLU207:N-6651:N6:3.06:159.4,,GLU154:OE2-N5:3.25;GLU207:N-N6:3.06;GLU207:OE2-N6:3.44,False,centroid_migration;ligand_rmsd;contact_loss;strain
7A_neutral_transfer,7A,neutral,161803,14.025548079028923,17.285072806071824,3.2595247270429013,7.806882868190546,6.8172409021026255,6.8397956840829695,0,0,0.0,0.6701035018002816,1.9062623114356532,9,7,2,49.855979127427844,-5.05,ligand_donor:6651:N5-GLU154:OE2:3.25:131.6;protein_donor:GLU207:N-6651:N6:3.06:159.4,,GLU154:OE2-N5:3.25;GLU207:N-N6:3.06;GLU207:OE2-N6:3.44,False,centroid_migration;ligand_rmsd;contact_loss;strain
7A_plus1_transfer,7A,plus1,314159,26.225301064319353,34.3632867745642,8.137985710244848,7.904787692948384,6.849718811443851,6.942039685856025,0,0,0.0,0.6691877889464213,1.9276796933100693,9,7,3,50.69294094881644,-5.187,protein_donor:GLU207:N-6651:N6:2.95:164.2,GLU154:OE2-ligand:N5:3.25;GLU207:OE2-ligand:N6:3.81,GLU154:OE2-N5:3.25;GLU207:N-N6:2.95,False,centroid_migration;ligand_rmsd;strain
7A_plus1_transfer,7A,plus1,271828,26.225301064319353,34.3632867745642,8.137985710244848,7.904787692948384,6.849718811443851,6.942039685856025,0,0,0.0,0.6691877889464213,1.9276796933100693,9,7,3,50.69294094881644,-5.187,protein_donor:GLU207:N-6651:N6:2.95:164.2,GLU154:OE2-ligand:N5:3.25;GLU207:OE2-ligand:N6:3.81,GLU154:OE2-N5:3.25;GLU207:N-N6:2.95,False,centroid_migration;ligand_rmsd;strain
7A_plus1_transfer,7A,plus1,161803,26.225301064319353,34.3632867745642,8.137985710244848,7.904787692948384,6.849718811443851,6.942039685856025,0,0,0.0,0.6691877889464213,1.9276796933100693,9,7,3,50.69294094881644,-5.187,protein_donor:GLU207:N-6651:N6:2.95:164.2,GLU154:OE2-ligand:N5:3.25;GLU207:OE2-ligand:N6:3.81,GLU154:OE2-N5:3.25;GLU207:N-N6:2.95,False,centroid_migration;ligand_rmsd;strain
