enzyme,state,family,population_all,physical_pass_population,physical_pass_seed_count,physical_pass_seeds,admissible,representative_seed,representative_mode,vina_score_min,vina_score_mean,sam_min_distance_a,site_relative_to_sam,burial_reduction_percent,strain_kcal_mol,protein_pairs_lt_1p8,sam_pairs_lt_2
7A,neutral,1,7,0,0,,False,172904,1,-8.09,-7.952428571428571,3.289306005831625,ADJACENT,71.21154992676571,32.952850944204194,0,0
7A,neutral,2,6,0,0,,False,172904,7,-7.804,-7.602833333333334,6.870246793238216,DISTINCT,65.13076616672723,33.51800781962931,0,0
7A,neutral,3,5,0,0,,False,172904,2,-7.981,-7.7798,3.4118461278316747,ADJACENT,70.50515831698227,35.87214563229045,0,0
7A,neutral,4,5,0,0,,False,806519,6,-7.624,-7.4108,3.0733437816163693,ADJACENT,67.66587596027934,29.348954183611347,0,0
7A,neutral,5,4,0,0,,False,172904,13,-7.47,-7.36325,3.7733567284315965,ADJACENT,56.32784244215862,33.015221807450835,0,0
7A,neutral,6,4,0,0,,False,172904,17,-7.43,-7.29375,3.3413606509923475,ADJACENT,63.990468989637414,31.40380654314007,0,0
7A,neutral,7,3,0,0,,False,172904,5,-7.906,-7.849666666666667,2.8152770733979273,ADJACENT,71.73864856047602,35.601994359504125,0,0
7A,neutral,8,3,0,0,,False,172904,8,-7.753,-7.645666666666667,3.2218021354515245,ADJACENT,63.92293308848962,35.328819550325726,0,0
7A,neutral,9,3,0,0,,False,172904,9,-7.614,-7.493666666666667,3.3898243317316603,ADJACENT,63.10739799159633,28.66231200224079,0,0
7A,neutral,10,3,0,0,,False,806519,7,-7.603,-7.536333333333334,3.528297889918027,ADJACENT,61.71157499850456,32.94857981898355,0,0
7A,neutral,11,3,0,0,,False,172904,18,-7.362,-7.304333333333333,3.3378786676570504,ADJACENT,61.78699611866572,30.618685369768862,0,0
7A,neutral,12,3,0,0,,False,483271,8,-7.495,-7.370666666666668,3.603295852410678,ADJACENT,66.85992506576676,24.343433008209566,0,0
