enzyme,state,seed,mode,vina_score,family,protein_pairs_lt_1p8,protein_pairs_1p8_2p2,sam_min_distance_a,sam_pairs_lt_2,sam_pairs_2_2p5,strain_kcal_mol,burial_reduction_percent,physical_pass
7A,neutral,172904,1,-8.09,1,0,0,3.289306005831625,0,0,32.952850944204194,71.21154992676571,False
7A,neutral,172904,2,-7.981,3,0,0,3.4118461278316747,0,0,35.87214563229045,70.50515831698227,False
7A,neutral,172904,3,-7.98,1,0,0,3.305937385976934,0,0,30.447172818957377,67.45057064637113,False
7A,neutral,172904,4,-7.924,3,0,0,3.2781331577591533,0,0,33.919839192409846,68.83491635541964,False
7A,neutral,172904,5,-7.906,7,0,0,2.8152770733979273,0,0,35.601994359504125,71.73864856047602,False
7A,neutral,172904,6,-7.87,1,0,0,3.5225639809661375,0,0,29.801433954835865,66.99118595970091,False
7A,neutral,172904,7,-7.804,2,0,0,6.870246793238216,0,0,33.51800781962931,65.13076616672723,False
7A,neutral,172904,8,-7.753,8,0,0,3.2218021354515245,0,0,35.328819550325726,63.92293308848962,False
7A,neutral,172904,9,-7.614,9,0,0,3.3898243317316603,0,0,28.66231200224079,63.10739799159633,False
7A,neutral,172904,10,-7.611,4,0,0,3.2513726332120108,0,0,31.51481621503229,69.27186046076855,False
7A,neutral,172904,11,-7.519,2,0,0,5.847963748177651,0,0,38.092318468976664,64.30710526963126,False
7A,neutral,172904,12,-7.492,13,0,0,3.3046163166092373,0,0,30.9469970934857,67.01705769947733,False
7A,neutral,172904,13,-7.47,5,0,0,3.7733567284315965,0,0,33.015221807450835,56.32784244215862,False
7A,neutral,172904,14,-7.461,14,0,0,2.84831792467063,0,0,24.980284460209624,58.0512120985131,False
7A,neutral,172904,15,-7.448,4,0,0,3.3912406284426355,0,0,19.79815475418068,69.93409096048705,False
7A,neutral,172904,16,-7.434,10,0,0,3.576605793206738,0,0,33.445203385611855,59.106713938794485,False
7A,neutral,172904,17,-7.43,6,0,0,3.3413606509923475,0,0,31.40380654314007,63.990468989637414,False
7A,neutral,172904,18,-7.362,11,0,0,3.3378786676570504,0,0,30.618685369768862,61.78699611866572,False
7A,neutral,172904,19,-7.297,15,0,0,3.917421218097437,0,0,29.64311622323266,60.55676489612091,False
7A,neutral,172904,20,-7.211,12,0,0,3.350209247196361,0,0,19.95141946571602,61.36099604361063,False
7A,neutral,483271,1,-7.989,1,0,0,3.411735921785272,0,0,31.246901572172938,70.89862616191301,False
7A,neutral,483271,2,-7.934,3,0,0,3.443642693427993,0,0,35.84683627571372,70.75714736580368,False
7A,neutral,483271,3,-7.821,7,0,0,2.7984813738883463,0,0,36.77840878498895,71.94412421179595,False
7A,neutral,483271,4,-7.82,1,0,0,3.417379259022915,0,0,29.525388366390366,67.96479302243955,False
7A,neutral,483271,5,-7.747,8,0,0,3.2276768735423316,0,0,35.136885574166605,65.40955443119967,False
7A,neutral,483271,6,-7.713,2,0,0,6.6631249425476025,0,0,33.39884085553788,65.1658173259958,False
7A,neutral,483271,7,-7.572,10,0,0,3.5583982351614325,0,0,32.35305567151591,61.02951304124927,False
7A,neutral,483271,8,-7.495,12,0,0,3.603295852410678,0,0,24.343433008209566,66.85992506576676,False
7A,neutral,483271,9,-7.487,16,0,0,3.1340673253776794,0,0,21.549885438638903,69.14691961920659,False
7A,neutral,483271,10,-7.472,2,0,0,5.8397488815872896,0,0,38.302594310188745,63.956691746352426,False
7A,neutral,483271,11,-7.461,17,0,0,3.505958642083504,0,0,24.225415028698343,62.56563042984877,False
7A,neutral,483271,12,-7.429,9,0,0,3.203281286431151,0,0,41.038235874119486,62.24631637939571,False
7A,neutral,483271,13,-7.425,16,0,0,3.312328938979339,0,0,32.89683457507676,67.40292696401043,False
7A,neutral,483271,14,-7.401,5,0,0,3.793334285295722,0,0,32.340095033939285,56.414981492172835,False
7A,neutral,483271,15,-7.307,6,0,0,3.265739273120254,0,0,32.08408988392568,61.938662206443645,False
7A,neutral,483271,16,-7.291,18,0,0,3.512092396278892,0,0,29.007107156907416,59.61294370317626,False
7A,neutral,483271,17,-7.206,15,0,0,3.850768754417747,0,0,28.83419727117022,60.247457553388024,False
7A,neutral,483271,18,-7.152,5,0,0,3.5632212954011155,0,0,36.8963534783143,52.72275253730843,False
7A,neutral,483271,19,-7.102,6,0,0,3.1492481642449195,0,0,32.150722530744524,60.96347187241536,False
7A,neutral,483271,20,-7.028,4,0,0,3.14745532136677,0,0,31.878287768324988,66.56887423134664,False
7A,neutral,806519,1,-8.041,1,0,0,3.3574886448058168,0,0,32.312837285526506,70.849356025797,False
7A,neutral,806519,2,-7.964,3,0,0,3.432712338661659,0,0,35.905430959913794,70.39571858781122,False
7A,neutral,806519,3,-7.877,1,0,0,3.4023847519056396,0,0,29.42419925574672,67.3609849278079,False
7A,neutral,806519,4,-7.822,7,0,0,2.8741221268415167,0,0,35.04633681443077,71.51429033271316,False
7A,neutral,806519,5,-7.783,2,0,0,6.84823057438927,0,0,33.78713385845234,65.80787016197435,False
7A,neutral,806519,6,-7.624,4,0,0,3.0733437816163693,0,0,29.348954183611347,67.66587596027934,False
7A,neutral,806519,7,-7.603,10,0,0,3.528297889918027,0,0,32.94857981898355,61.71157499850456,False
7A,neutral,806519,8,-7.457,14,0,0,2.817163289552099,0,0,25.018685517585403,58.84494696673854,False
7A,neutral,806519,9,-7.438,9,0,0,3.3588261342320176,0,0,37.77434050603005,60.62910766956678,False
7A,neutral,806519,10,-7.437,8,0,0,2.9894609882050656,0,0,33.36836585671137,66.52624519063004,False
7A,neutral,806519,11,-7.43,5,0,0,3.7576914455553694,0,0,32.35224978434159,57.00068647117854,False
7A,neutral,806519,12,-7.406,12,0,0,3.549406288381199,0,0,22.51785309565225,64.19064784649265,False
7A,neutral,806519,13,-7.396,19,0,0,5.944035750228963,0,0,32.39921665564493,63.26429182385409,False
7A,neutral,806519,14,-7.343,4,0,0,3.268057221041272,0,0,33.92342823987901,65.90466694494269,False
7A,neutral,806519,15,-7.338,11,0,0,3.650597211416237,0,0,28.809345906788145,59.36165673713094,False
7A,neutral,806519,16,-7.336,6,0,0,3.2934972293900597,0,0,27.192105172219904,60.571227393560356,False
7A,neutral,806519,17,-7.326,2,0,0,5.806282287316042,0,0,37.450009744778036,65.20771950149258,False
7A,neutral,806519,18,-7.253,13,0,0,3.2535220915186667,0,0,32.53484642400252,65.93339525115843,False
7A,neutral,806519,19,-7.213,11,0,0,3.5240468214823717,0,0,35.52320407475478,62.300016315711034,False
7A,neutral,806519,20,-7.096,3,0,0,3.4020302761733316,0,0,32.16111682816602,64.09117023306267,False
7A,monocation,172904,1,-7.997,1,0,0,3.2957166140310075,0,0,35.05317547294353,67.60662230493735,False
7A,monocation,172904,2,-7.863,1,0,0,3.2058916076498907,0,0,37.72521627357108,67.72953223339542,False
7A,monocation,172904,3,-7.8,1,0,0,3.143310993204459,0,0,37.55502485417732,68.37697668598636,False
7A,monocation,172904,4,-7.699,2,0,0,3.0923256620220325,0,0,33.18754701272985,70.89084195115836,False
7A,monocation,172904,5,-7.632,12,0,0,3.5276679265486424,0,0,36.297141881251626,66.23896299798565,False
7A,monocation,172904,6,-7.554,8,0,0,3.581083216011603,0,0,23.596017444916022,67.03323838289201,False
7A,monocation,172904,7,-7.508,9,0,0,2.8584027008103674,0,0,36.79312882538036,58.969607027351124,False
7A,monocation,172904,8,-7.472,13,0,0,3.182088150884572,0,0,35.680851356739545,68.67353192701466,False
7A,monocation,172904,9,-7.447,14,0,0,3.0436711386087696,0,0,36.67463891340646,68.54280864935568,False
7A,monocation,172904,10,-7.37,3,0,0,6.9459899942340835,0,0,35.588976376882066,64.85919022288255,False
7A,monocation,172904,11,-7.339,4,0,0,3.4113979539185992,0,0,34.95722749421084,68.17980599492628,False
7A,monocation,172904,12,-7.335,5,0,0,3.609743619704867,0,0,33.289013698046105,58.73938092549655,False
7A,monocation,172904,13,-7.312,10,0,0,3.465028427011818,0,0,46.67076867950652,64.35649056945272,False
7A,monocation,172904,14,-7.193,6,0,0,3.6100815780256266,0,0,28.004621217350525,60.28562480727211,False
7A,monocation,172904,15,-7.15,7,0,0,3.3980067686807214,0,0,37.34656376485384,57.264777425776046,False
7A,monocation,172904,16,-7.145,15,0,0,3.472307302068756,0,0,37.602643037546926,62.05660106120412,False
7A,monocation,172904,17,-7.143,6,0,0,3.3787728541587407,0,0,32.27357156285433,61.23418445062734,False
