enzyme,state,family,population_all,physical_pass_population,physical_pass_seed_count,physical_pass_seeds,admissible,representative_seed,representative_mode,vina_score_min,vina_score_mean,sam_min_distance_a,site_relative_to_sam,burial_reduction_percent,strain_kcal_mol,protein_pairs_lt_1p8,sam_pairs_lt_2
7A,neutral,1,6,0,0,,False,172904,2,-7.53,-7.027833333333334,3.5503344912838837,ADJACENT,66.36139823233357,24.70546319938665,0,0
7A,neutral,2,5,0,0,,False,806519,7,-6.353,-6.2894,3.342679763303688,ADJACENT,55.06359938999146,32.98827730291584,0,0
7A,neutral,3,5,0,0,,False,483271,11,-6.696,-6.402800000000001,3.4457256129877787,ADJACENT,65.34752790428895,36.571967227643206,0,0
7A,neutral,4,5,0,0,,False,806519,6,-6.379,-6.0512,3.5388755276217334,ADJACENT,61.08703954589229,23.241597602141432,0,0
7A,neutral,5,5,0,0,,False,172904,10,-6.198,-6.1022,4.638863007246496,ADJACENT,57.982137927043105,32.205095270092066,0,0
7A,neutral,6,4,0,0,,False,172904,1,-7.953,-7.705,3.445032510731938,ADJACENT,71.23342576038974,32.17959135305001,0,0
7A,neutral,7,3,0,0,,False,172904,3,-7.499,-7.296666666666667,2.9374022536928774,ADJACENT,71.4193707256319,28.52935703923945,0,0
7A,neutral,8,3,0,0,,False,483271,12,-6.641,-6.333333333333333,3.5844408211044585,ADJACENT,56.51694171854634,38.392807542699735,0,0
7A,neutral,9,3,0,0,,False,483271,6,-7.194,-6.3116666666666665,3.522343538043954,ADJACENT,63.794873516974405,35.74855552119005,0,0
7A,neutral,10,3,0,0,,False,483271,8,-7.039,-6.396666666666667,3.581140321182626,ADJACENT,63.775839362780694,37.594308223353956,0,0
7A,neutral,11,2,0,0,,False,483271,3,-7.316,-7.2245,3.3568523947293243,ADJACENT,60.40649106954601,23.318416166466882,0,0
7A,neutral,12,2,0,0,,False,806519,8,-6.194,-6.185499999999999,5.587348297716905,DISTINCT,63.48014224583116,26.994720050961128,0,0
7A,neutral,13,2,0,0,,False,172904,17,-5.776,-5.7684999999999995,4.890989879359801,ADJACENT,57.59360974380878,21.44810707350795,0,0
7A,neutral,14,2,0,0,,False,806519,13,-6.027,-5.849,2.805027272594689,ADJACENT,63.08766460561965,24.488442733305597,0,0
7A,neutral,15,2,0,0,,False,806519,5,-6.386,-6.212,3.4032657845075813,ADJACENT,60.95753827869309,42.569025928584786,0,0
7A,neutral,16,1,0,0,,False,172904,13,-6.046,-6.046,3.2124677430287143,ADJACENT,58.317359785709236,26.52311495953135,0,0
7A,neutral,17,1,0,0,,False,172904,20,-5.606,-5.606,3.357772773729634,ADJACENT,66.41192945731214,41.42124737570014,0,0
7A,neutral,18,1,0,0,,False,483271,9,-7.004,-7.004,3.4099414950992926,ADJACENT,61.63298931870453,34.73943954880392,0,0
7A,neutral,19,1,0,0,,False,483271,13,-6.548,-6.548,3.68014320373542,ADJACENT,59.267283190058215,31.276516647237777,0,0
7A,neutral,20,1,0,0,,False,483271,19,-6.113,-6.113,3.4357806973088376,ADJACENT,58.696526588233375,29.201685978024408,0,0
7A,neutral,21,1,0,0,,False,806519,11,-6.031,-6.031,3.438463755807235,ADJACENT,59.59962613847378,37.0091503487698,0,0
7A,neutral,22,1,0,0,,False,806519,16,-5.896,-5.896,3.1597723019230357,ADJACENT,53.17079035626876,31.01089768054235,0,0
7A,neutral,23,1,0,0,,False,806519,18,-5.762,-5.762,3.3060456742156483,ADJACENT,55.206053153527726,22.812619044906533,0,0
7A,monocation,1,7,0,0,,False,806519,11,-6.34,-6.058857142857143,3.365719685297633,ADJACENT,60.90864272136227,20.212080504379458,0,0
7A,monocation,2,5,0,0,,False,483271,1,-8.079,-7.7254000000000005,3.4204585949840127,ADJACENT,71.96068915287209,37.440206823998395,0,0
7A,monocation,3,5,0,0,,False,483271,2,-7.677,-7.1456,3.66316174909053,ADJACENT,67.13284732435687,23.25041479335861,0,0
7A,monocation,4,4,0,0,,False,806519,4,-7.415,-7.0752500000000005,2.906289902951872,ADJACENT,70.65727997991245,30.64774008983249,0,0
7A,monocation,5,4,0,0,,False,483271,7,-6.915,-6.735250000000001,3.530728395104897,ADJACENT,56.94734245329237,36.90601496736546,0,0
7A,monocation,6,3,0,0,,False,806519,6,-6.94,-6.693333333333334,3.5049694720496505,ADJACENT,65.22763019003551,31.641212319832583,0,0
7A,monocation,7,3,0,0,,False,483271,15,-6.261,-6.125666666666667,3.0711367602241357,ADJACENT,55.519829993446024,31.759629896234316,0,0
7A,monocation,8,3,0,0,,False,806519,10,-6.403,-6.120333333333334,3.2427574685751632,ADJACENT,60.39560768160906,36.659980654400144,0,0
7A,monocation,9,3,0,0,,False,483271,18,-6.177,-6.002666666666666,4.109027622199686,ADJACENT,58.97852342718169,31.942108510654933,0,0
7A,monocation,10,3,0,0,,False,483271,11,-6.561,-6.323333333333333,3.2312998932318253,ADJACENT,60.84758486879323,36.566064803420716,0,0
7A,monocation,11,2,0,0,,False,172904,3,-7.288,-6.891,3.2893099580307115,ADJACENT,60.582169778500635,28.538079332284113,0,0
7A,monocation,12,2,0,0,,False,483271,5,-7.341,-7.1985,3.5958651253905507,ADJACENT,63.5080203098438,38.883902440479275,0,0
7A,monocation,13,2,0,0,,False,172904,5,-6.847,-6.833,3.4827128793513835,ADJACENT,64.25628145067466,35.832943397114235,0,0
7A,monocation,14,2,0,0,,False,483271,9,-6.661,-6.579,3.424417322698856,ADJACENT,61.03505948678091,45.47246255020228,0,0
7A,monocation,15,2,0,0,,False,172904,10,-6.352,-6.0925,3.2148575396119803,ADJACENT,68.53946745226565,38.227987120176955,0,0
7A,monocation,16,2,0,0,,False,806519,8,-6.445,-6.141,2.9901754129147675,ADJACENT,68.33879446479033,28.6149042618801,0,0
7A,monocation,17,2,0,0,,False,483271,17,-6.21,-5.9510000000000005,5.122998926410194,DISTINCT,60.894264391269246,21.874980489023606,0,0
7A,monocation,18,1,0,0,,False,483271,14,-6.306,-6.306,5.2539298624934085,DISTINCT,64.10833920569213,20.85180771099867,0,0
7A,monocation,19,1,0,0,,False,806519,5,-7.212,-7.212,3.1228629492822764,ADJACENT,69.93096755826804,40.98765130959886,0,0
7A,monocation,20,1,0,0,,False,806519,18,-5.788,-5.788,3.4089185968573665,ADJACENT,51.40792684495755,32.78517718371184,0,0
7A,monocation,21,1,0,0,,False,806519,20,-5.685,-5.685,3.8321187351124695,ADJACENT,56.54622317718559,29.22107312511423,0,0
7B,neutral,1,6,0,0,,False,483271,1,-7.555,-7.2785,3.2500646147422985,ADJACENT,62.510380326460435,27.03991282827611,0,0
7B,neutral,2,6,0,0,,False,483271,3,-7.375,-7.336333333333333,3.199452140601575,ADJACENT,63.296895974906526,40.3101618618035,0,0
7B,neutral,3,6,0,0,,False,483271,8,-7.273,-7.178,3.7188275033940474,ADJACENT,63.91170232365381,28.409123844774804,0,0
7B,neutral,4,5,0,0,,False,483271,2,-7.432,-7.3427999999999995,3.477296794925622,ADJACENT,61.98405057823332,35.179502331233856,0,0
7B,neutral,5,5,3,3,172904;483271;806519,True,483271,5,-7.304,-7.1331999999999995,3.683433452636276,ADJACENT,60.806012025088165,14.036992357500601,0,0
7B,neutral,6,5,0,0,,False,483271,6,-7.298,-7.033799999999999,7.974801188744457,DISTINCT,53.22954590126111,32.12388161691877,0,0
7B,neutral,7,4,0,0,,False,483271,11,-7.145,-6.96225,11.426559937268959,DISTINCT,54.61822748839829,35.473037343171605,0,0
7B,neutral,8,3,0,0,,False,806519,5,-7.334,-7.2860000000000005,6.512080619894076,DISTINCT,61.7266958283966,23.514544954902057,0,0
7B,neutral,9,3,0,0,,False,806519,12,-7.053,-6.998,6.828850415699557,DISTINCT,60.07540728680722,25.454798827698063,0,0
7B,neutral,10,3,0,0,,False,483271,15,-7.01,-6.858999999999999,3.817360606492398,ADJACENT,58.04719797170586,35.76208852844348,0,0
7B,neutral,11,2,0,0,,False,172904,15,-6.813,-6.7375,3.557144079173629,ADJACENT,56.76939214522872,15.253332393309684,0,0
7B,neutral,12,2,0,0,,False,483271,16,-6.994,-6.713,3.4684627718918946,ADJACENT,56.14848446932401,34.7501361991721,0,0
7B,neutral,13,2,0,0,,False,483271,19,-6.844,-6.833500000000001,7.006054738581479,DISTINCT,55.2525448657115,15.698955213562165,0,0
7B,neutral,14,1,0,0,,False,172904,9,-7.055,-7.055,3.3167550406986646,ADJACENT,63.74771893440308,19.28726206301807,0,0
7B,neutral,15,1,0,0,,False,172904,18,-6.556,-6.556,3.458617353799059,ADJACENT,56.12821078274239,38.000125882287826,0,0
7B,neutral,16,1,0,0,,False,172904,19,-6.537,-6.537,8.12132218299459,DISTINCT,56.15514101320557,29.16855992407239,0,0
7B,neutral,17,1,0,0,,False,483271,20,-6.731,-6.731,12.388623733086739,DISTINCT,49.087483712509176,27.819149186041052,0,0
7B,neutral,18,1,0,0,,False,806519,17,-6.649,-6.649,7.253498259460742,DISTINCT,50.13406666589624,39.80369489183176,0,0
7B,neutral,19,1,0,0,,False,806519,18,-6.643,-6.643,11.453934607810542,DISTINCT,50.036842129811156,26.461414732730965,0,0
7B,neutral,20,1,0,0,,False,806519,19,-6.576,-6.576,6.980069125732209,DISTINCT,52.13631606687716,28.00527184254961,0,0
7B,neutral,21,1,0,0,,False,806519,20,-6.492,-6.492,11.326993820074238,DISTINCT,50.06030779729729,34.7558241119958,0,0
7B,monocation,1,11,0,0,,False,806519,1,-7.574,-7.235818181818181,3.1837884665913347,ADJACENT,62.155896781708456,35.05621536056025,0,0
7B,monocation,2,6,0,0,,False,806519,2,-7.465,-7.1315,3.2726070647115586,ADJACENT,62.592009603962325,40.81411332803214,0,0
7B,monocation,3,6,0,0,,False,806519,4,-7.341,-7.2535,4.315542376109868,ADJACENT,59.068837671759375,42.52254175686738,0,0
7B,monocation,4,6,0,0,,False,806519,10,-7.118,-6.948,3.5817861466033953,ADJACENT,63.43097623241294,31.81581126766082,0,0
7B,monocation,5,5,0,0,,False,806519,8,-7.145,-6.9714,7.966529859355326,DISTINCT,53.45596294482681,37.442811403083425,0,0
7B,monocation,6,3,0,0,,False,806519,3,-7.392,-7.357333333333333,4.435949729201178,ADJACENT,60.83260181289389,34.95867584887974,0,0
7B,monocation,7,3,0,0,,False,806519,9,-7.127,-7.0056666666666665,6.656875092714299,DISTINCT,59.92968316334707,26.22750601523299,0,0
7B,monocation,8,3,0,0,,False,806519,16,-6.876,-6.7749999999999995,3.9372538653228846,ADJACENT,57.40443730698445,25.727323390216583,0,0
7B,monocation,9,3,0,0,,False,806519,13,-7.041,-6.925,11.53685251704294,DISTINCT,56.27627377004675,36.52498591270958,0,0
7B,monocation,10,2,0,0,,False,172904,11,-6.9,-6.897,10.742414905411167,DISTINCT,54.25921583111139,28.3989234854291,0,0
7B,monocation,11,2,0,0,,False,806519,18,-6.809,-6.8004999999999995,7.159320079448887,DISTINCT,54.963705311580426,29.480197645458276,0,0
7B,monocation,12,2,0,0,,False,172904,19,-6.665,-6.6635,3.2704875783283454,ADJACENT,57.534488851409385,34.23678023404379,0,0
7B,monocation,13,2,0,0,,False,806519,17,-6.825,-6.7405,8.659409564167754,DISTINCT,55.18819628740564,23.37242452563663,0,0
7B,monocation,14,1,0,0,,False,172904,10,-6.921,-6.921,3.278533361123537,ADJACENT,58.63455068394051,46.04366560948936,0,0
7B,monocation,15,1,0,0,,False,172904,18,-6.714,-6.714,3.4579836610371655,ADJACENT,62.53019505265378,28.147869577190704,0,0
7B,monocation,16,1,0,0,,False,483271,15,-6.708,-6.708,3.2967587112192485,ADJACENT,58.61724423843373,42.548269196251965,0,0
7B,monocation,17,1,0,0,,False,483271,20,-6.52,-6.52,9.286771021189226,DISTINCT,52.20992432373152,37.25536701398618,0,0
7B,monocation,18,1,0,0,,False,806519,19,-6.728,-6.728,7.871439830170845,DISTINCT,54.86400593431603,35.995250577612644,0,0
7B,monocation,19,1,0,0,,False,806519,20,-6.683,-6.683,7.407326913266352,DISTINCT,50.96688451093112,37.31307287384128,0,0
