enzyme,state,seed,mode,vina_score,family,protein_pairs_lt_1p8,protein_pairs_1p8_2p2,sam_min_distance_a,sam_pairs_lt_2,sam_pairs_2_2p5,strain_kcal_mol,burial_reduction_percent,physical_pass
7A,neutral,172904,1,-7.953,6,0,0,3.445032510731938,0,0,32.17959135305001,71.23342576038974,False
7A,neutral,172904,2,-7.53,1,0,0,3.5503344912838837,0,0,24.70546319938665,66.36139823233357,False
7A,neutral,172904,3,-7.499,7,0,0,2.9374022536928774,0,0,28.52935703923945,71.4193707256319,False
7A,neutral,172904,4,-7.149,7,0,0,3.097624089524099,0,0,28.25830159086798,68.96687277813257,False
7A,neutral,172904,5,-7.133,11,0,0,3.5670477989508362,0,0,24.309142728124876,64.10451977493668,False
7A,neutral,172904,6,-6.352,2,0,0,3.3202391480132882,0,0,32.22947068526941,55.393701333462936,False
7A,neutral,172904,7,-6.322,2,0,0,3.495202569236868,0,0,27.6760168491032,60.41378484595773,False
7A,neutral,172904,8,-6.315,3,0,0,4.217006284083532,0,0,35.562008078888375,64.05853067384635,False
7A,neutral,172904,9,-6.307,4,0,0,3.49256009253957,0,0,20.84692627132616,60.39895719212459,False
7A,neutral,172904,10,-6.198,5,0,0,4.638863007246496,0,0,32.205095270092066,57.982137927043105,False
7A,neutral,172904,11,-6.184,8,0,0,4.199931189912521,0,0,33.38062241948797,56.13357128753609,False
7A,neutral,172904,12,-6.177,12,0,0,5.627112314500219,0,0,26.933476577108458,63.08321892063226,False
7A,neutral,172904,13,-6.046,16,0,0,3.2124677430287143,0,0,26.52311495953135,58.317359785709236,False
7A,neutral,172904,14,-6.02,5,0,0,4.898424746793605,0,0,27.66009341235364,60.37128677222344,False
7A,neutral,172904,15,-5.941,1,0,0,3.2606579090729526,0,0,18.209376382256927,58.21410063634285,False
7A,neutral,172904,16,-5.798,9,0,0,4.809257219155573,0,0,28.9841137836628,61.71304827583034,False
7A,neutral,172904,17,-5.776,13,0,0,4.890989879359801,0,0,21.44810707350795,57.59360974380878,False
7A,neutral,172904,18,-5.671,14,0,0,2.9800917771102284,0,0,22.60419303775337,59.58468283865377,False
7A,neutral,172904,19,-5.634,4,0,0,3.549606316199024,0,0,27.048772561076426,56.79448360248348,False
7A,neutral,172904,20,-5.606,17,0,0,3.357772773729634,0,0,41.42124737570014,66.41192945731214,False
7A,neutral,483271,1,-7.805,6,0,0,3.5555549496527257,0,0,35.57644716422252,71.16275399057658,False
7A,neutral,483271,2,-7.444,1,0,0,3.5508625712634947,0,0,25.026968626424313,66.39039367154591,False
7A,neutral,483271,3,-7.316,11,0,0,3.3568523947293243,0,0,23.318416166466882,60.40649106954601,False
7A,neutral,483271,4,-7.242,7,0,0,2.9790114132040513,0,0,32.873902031308155,72.14857150069071,False
7A,neutral,483271,5,-7.223,6,0,0,3.5399014110565292,0,0,30.283446491876468,69.64260054327089,False
7A,neutral,483271,6,-7.194,9,0,0,3.522343538043954,0,0,35.74855552119005,63.794873516974405,False
7A,neutral,483271,7,-7.041,1,0,0,3.4302364349997805,0,0,33.58164894261288,61.76840350700509,False
7A,neutral,483271,8,-7.039,10,0,0,3.581140321182626,0,0,37.594308223353956,63.775839362780694,False
7A,neutral,483271,9,-7.004,18,0,0,3.4099414950992926,0,0,34.73943954880392,61.63298931870453,False
7A,neutral,483271,10,-6.699,1,0,0,3.428286160751462,0,0,17.68321988234866,62.41931224562812,False
7A,neutral,483271,11,-6.696,3,0,0,3.4457256129877787,0,0,36.571967227643206,65.34752790428895,False
7A,neutral,483271,12,-6.641,8,0,0,3.5844408211044585,0,0,38.392807542699735,56.51694171854634,False
7A,neutral,483271,13,-6.548,19,0,0,3.68014320373542,0,0,31.276516647237777,59.267283190058215,False
7A,neutral,483271,14,-6.386,3,0,0,3.932775228766577,0,0,36.73415577418678,64.17504867245579,False
7A,neutral,483271,15,-6.301,2,0,0,3.3375955417036387,0,0,32.57391876218309,55.793685488601604,False
7A,neutral,483271,16,-6.175,5,0,0,5.01911446372764,0,0,29.939772683764353,62.94222584207473,False
7A,neutral,483271,17,-6.121,4,0,0,3.318462746513814,0,0,23.236988933482174,60.787911806854915,False
7A,neutral,483271,18,-6.119,2,0,0,3.6002162435053817,0,0,26.87352003886651,61.1316642420081,False
7A,neutral,483271,19,-6.113,20,0,0,3.4357806973088376,0,0,29.201685978024408,58.696526588233375,False
7A,neutral,483271,20,-6.089,5,0,0,4.254387029878687,0,0,37.656652167809035,60.24959706430469,False
7A,neutral,806519,1,-7.839,6,0,0,3.1475231532111083,0,0,34.91472508417622,70.36129756194394,False
7A,neutral,806519,2,-7.512,1,0,0,3.534552446916016,0,0,22.622727639410975,65.5751384491894,False
7A,neutral,806519,3,-6.871,10,0,0,3.526257364402093,0,0,35.99426670791298,62.468436563124556,False
7A,neutral,806519,4,-6.648,3,0,0,4.122367038486504,0,0,36.70259141474455,64.78165313739973,False
7A,neutral,806519,5,-6.386,15,0,0,3.4032657845075813,0,0,42.569025928584786,60.95753827869309,False
7A,neutral,806519,6,-6.379,4,0,0,3.5388755276217334,0,0,23.241597602141432,61.08703954589229,False
7A,neutral,806519,7,-6.353,2,0,0,3.342679763303688,0,0,32.98827730291584,55.06359938999146,False
7A,neutral,806519,8,-6.194,12,0,0,5.587348297716905,0,0,26.994720050961128,63.48014224583116,False
7A,neutral,806519,9,-6.175,8,0,0,4.692625810780143,0,0,25.080393044134816,53.62937982307126,False
7A,neutral,806519,10,-6.038,15,0,0,3.4455905154269275,0,0,30.263429870557196,54.6423881882554,False
7A,neutral,806519,11,-6.031,21,0,0,3.438463755807235,0,0,37.0091503487698,59.59962613847378,False
7A,neutral,806519,12,-6.029,5,0,0,5.165594738265866,0,0,38.364750627666986,62.5009033078207,False
7A,neutral,806519,13,-6.027,14,0,0,2.805027272594689,0,0,24.488442733305597,63.08766460561965,False
7A,neutral,806519,14,-5.969,3,0,0,3.8964503076518247,0,0,35.91686930921549,63.9315745619787,False
7A,neutral,806519,15,-5.943,9,0,0,3.7647430191183044,0,0,23.068320974306168,61.88852898352475,False
7A,neutral,806519,16,-5.896,22,0,0,3.1597723019230357,0,0,31.01089768054235,53.17079035626876,False
7A,neutral,806519,17,-5.815,4,0,0,3.6277997464027707,0,0,43.777877947807134,58.40112588015597,False
7A,neutral,806519,18,-5.762,23,0,0,3.3060456742156483,0,0,22.812619044906533,55.206053153527726,False
7A,neutral,806519,19,-5.761,13,0,0,4.9146105644292915,0,0,22.000236245476295,57.207243451153055,False
7A,neutral,806519,20,-5.28,10,0,0,2.8440186356632764,0,0,21.617584237973723,58.5896522488346,False
7A,monocation,172904,1,-7.644,2,0,0,3.4568200705272467,0,0,41.26176836889214,68.50836607971236,False
7A,monocation,172904,2,-7.488,3,0,0,3.6464817290094844,0,0,23.428167436808344,67.25433696603893,False
7A,monocation,172904,3,-7.288,11,0,0,3.2893099580307115,0,0,28.538079332284113,60.582169778500635,False
7A,monocation,172904,4,-7.056,12,0,0,3.614027670065629,0,0,38.972018898793536,63.40514098782326,False
7A,monocation,172904,5,-6.847,13,0,0,3.4827128793513835,0,0,35.832943397114235,64.25628145067466,False
7A,monocation,172904,6,-6.838,4,0,0,2.899694294231721,0,0,36.231601117343814,70.35562753392225,False
7A,monocation,172904,7,-6.727,6,0,0,3.4921142592990857,0,0,30.257488593035283,65.0015610667499,False
7A,monocation,172904,8,-6.702,5,0,0,3.5474547213459973,0,0,37.37521805926836,57.56583464854968,False
7A,monocation,172904,9,-6.497,14,0,0,3.372688245302255,0,0,36.74722418973211,61.6927599743926,False
7A,monocation,172904,10,-6.352,15,0,0,3.2148575396119803,0,0,38.227987120176955,68.53946745226565,False
7A,monocation,172904,11,-6.308,1,0,0,3.6946432845404713,0,0,26.998106300971585,59.53369007062316,False
7A,monocation,172904,12,-6.063,1,0,0,3.478221097055218,0,0,23.031265622867288,61.30134034932123,False
7A,monocation,172904,13,-6.0,7,0,0,3.0452136214065506,0,0,23.152425763325297,57.25037457242997,False
7A,monocation,172904,14,-5.936,8,0,0,3.3383265268694133,0,0,42.2382710675287,55.487083779730476,False
7A,monocation,172904,15,-5.883,9,0,0,4.598624142066843,0,0,32.91940289904012,57.71657066032291,False
7A,monocation,172904,16,-5.858,1,0,0,3.583236944440042,0,0,20.866298645187527,60.239589793166004,False
7A,monocation,172904,17,-5.837,16,0,0,2.9950502499958165,0,0,27.586620336088714,67.76033573824459,False
7A,monocation,172904,18,-5.511,1,0,0,3.457297499492921,0,0,23.72930782025459,55.51399042603333,False
7A,monocation,483271,1,-8.079,2,0,0,3.4204585949840127,0,0,37.440206823998395,71.96068915287209,False
7A,monocation,483271,2,-7.677,3,0,0,3.66316174909053,0,0,23.25041479335861,67.13284732435687,False
7A,monocation,483271,3,-7.433,2,0,0,3.461927931081177,0,0,31.278006171102312,68.2685235939267,False
7A,monocation,483271,4,-7.397,4,0,0,2.9445566729135986,0,0,35.10572073826839,71.7348422517072,False
7A,monocation,483271,5,-7.341,12,0,0,3.5958651253905507,0,0,38.883902440479275,63.5080203098438,False
7A,monocation,483271,6,-7.028,3,0,0,3.3648294161814505,0,0,21.51837019033121,63.32326175233643,False
7A,monocation,483271,7,-6.915,5,0,0,3.530728395104897,0,0,36.90601496736546,56.94734245329237,False
7A,monocation,483271,8,-6.819,13,0,0,3.3575446385714676,0,0,43.73988122376538,63.98071371730442,False
7A,monocation,483271,9,-6.661,14,0,0,3.424417322698856,0,0,45.47246255020228,61.03505948678091,False
7A,monocation,483271,10,-6.651,4,0,0,3.117716311661471,0,0,36.49094846676026,62.628146792594265,False
7A,monocation,483271,11,-6.561,10,0,0,3.2312998932318253,0,0,36.566064803420716,60.84758486879323,False
7A,monocation,483271,12,-6.494,11,0,0,3.428914113826708,0,0,38.378165376193564,62.9173557996629,False
7A,monocation,483271,13,-6.413,6,0,0,4.021778337999248,0,0,35.49256700563086,63.727445081455414,False
7A,monocation,483271,14,-6.306,18,0,0,5.2539298624934085,0,0,20.85180771099867,64.10833920569213,False
7A,monocation,483271,15,-6.261,7,0,0,3.0711367602241357,0,0,31.759629896234316,55.519829993446024,False
7A,monocation,483271,16,-6.259,10,0,0,3.346360112121826,0,0,36.50237463905518,55.485235374669195,False
7A,monocation,483271,17,-6.21,17,0,0,5.122998926410194,0,0,21.874980489023606,60.894264391269246,False
7A,monocation,483271,18,-6.177,9,0,0,4.109027622199686,0,0,31.942108510654933,58.97852342718169,False
7A,monocation,483271,19,-6.161,1,0,0,3.962012872265814,0,0,20.660231228781413,60.24936458734963,False
7A,monocation,483271,20,-6.022,8,0,0,3.3417262006334396,0,0,37.785404658967295,54.59675023681683,False
7A,monocation,806519,1,-8.043,2,0,0,3.4032795947438697,0,0,38.15530941754996,71.55479593341488,False
7A,monocation,806519,2,-7.642,3,0,0,3.5986939297472906,0,0,23.70170234855774,66.82121109561109,False
7A,monocation,806519,3,-7.428,2,0,0,3.4622832062094515,0,0,36.475292473272894,69.39372520232635,False
7A,monocation,806519,4,-7.415,4,0,0,2.906289902951872,0,0,30.64774008983249,70.65727997991245,False
7A,monocation,806519,5,-7.212,19,0,0,3.1228629492822764,0,0,40.98765130959886,69.93096755826804,False
7A,monocation,806519,6,-6.94,6,0,0,3.5049694720496505,0,0,31.641212319832583,65.22763019003551,False
7A,monocation,806519,7,-6.884,5,0,0,3.573139515887955,0,0,36.560848331001765,57.18977877265712,False
7A,monocation,806519,8,-6.445,16,0,0,2.9901754129147675,0,0,28.6149042618801,68.33879446479033,False
7A,monocation,806519,9,-6.44,5,0,0,3.557138456681156,0,0,30.7366429299708,59.51852415784482,False
7A,monocation,806519,10,-6.403,8,0,0,3.2427574685751632,0,0,36.659980654400144,60.39560768160906,False
7A,monocation,806519,11,-6.34,1,0,0,3.365719685297633,0,0,20.212080504379458,60.90864272136227,False
7A,monocation,806519,12,-6.171,1,0,0,3.4099338703265203,0,0,24.064689666290526,61.48251735899699,False
7A,monocation,806519,13,-6.15,10,0,0,3.2519032888448582,0,0,22.600148486633742,56.993923220816086,False
7A,monocation,806519,14,-6.116,7,0,0,3.253239001364641,0,0,27.798273668882977,54.286311961255365,False
7A,monocation,806519,15,-5.948,9,0,0,3.94748299553019,0,0,23.77897687506909,55.3429584509163,False
7A,monocation,806519,16,-5.893,3,0,0,4.1298205772164005,0,0,26.44895766389091,58.556674119844764,False
7A,monocation,806519,17,-5.833,15,0,0,3.120160412542919,0,0,43.14443750397085,62.74174053631644,False
7A,monocation,806519,18,-5.788,20,0,0,3.4089185968573665,0,0,32.78517718371184,51.40792684495755,False
7A,monocation,806519,19,-5.692,17,0,0,4.448353066023424,0,0,28.285570630666932,63.2039143239066,False
7A,monocation,806519,20,-5.685,21,0,0,3.8321187351124695,0,0,29.22107312511423,56.54622317718559,False
7B,neutral,172904,1,-7.347,1,0,0,3.406099381991077,0,0,31.95696302738282,61.68044215691509,False
