Rank 	 Pose Confidence 

1 	 -1.7090870141983032
2 	 -2.407613515853882
3 	 -2.7903122901916504
4 	 -2.829841375350952
5 	 -2.872407913208008
6 	 -2.8753488063812256
7 	 -2.9093000888824463
8 	 -3.0996739864349365
9 	 -3.1579530239105225
10 	 -3.1707100868225098
11 	 -3.4117941856384277
12 	 -3.5071585178375244
13 	 -3.5525879859924316
14 	 -3.566298007965088
15 	 -3.577655792236328
16 	 -3.7465221881866455
17 	 -4.239627361297607
18 	 -4.325598239898682
19 	 -4.392213344573975
20 	 -4.673985481262207
