identifier,smiles,chemistry_class,plausible_acceptor,reactive_sulfur,sam_approach,tolerated_topology,arylamine,negative_control,productive_established,a_selective,b_selective,b_compatible,direct_binding,a_contacts,b_contacts,broad_route,rear_route,context195_203,context228_237,expected_action,expected_productive,expected_a_prior,expected_b_prior
TSL,CC(C)CS,THIOL,true,true,true,true,false,false,true,false,false,false,false,S149|D200,M40|L145,false,false,false,false,TEST_PRODUCTIVE_TURNOVER_A_B,HIGH,MODERATE,MODERATE
captopril,CC1C(C(=O)N1C(CS)C(=O)O)C,THIOL,true,true,true,true,false,false,true,false,false,false,false,S149|K151,M40|L145,false,false,false,false,TEST_PRODUCTIVE_TURNOVER_A_B,HIGH,MODERATE,MODERATE
reduced-romidepsin,CC1CSC(CC(=O)NCC(=O)NCC(=O)NCC(=O)N1)S,THIOL,true,true,true,true,false,false,true,false,false,false,false,S149|D200,M40|L145,false,false,false,false,TEST_PRODUCTIVE_TURNOVER_A_B,HIGH,MODERATE,MODERATE
DCMB,CC(C1=CC(=C(C=C1Cl)Cl)N)N,ARYLAMINE,false,false,false,true,true,false,false,true,false,false,true,F43|Y47|F199|S149|K151,,false,false,false,false,TEST_AS_A_SELECTIVE_PROSPECT,LOW,HIGH,LOW
2_4-DCMB,CC(C1=CC=C(C=C1Cl)Cl)N,ARYLAMINE,false,false,false,true,true,false,false,false,false,false,false,F43|F199|S149|K151,,false,false,false,false,TEST_AS_A_SELECTIVE_PROSPECT,LOW,MODERATE,LOW
DC6MB,CC(C1=CC(=CC(=C1)Cl)Cl)N,ARYLAMINE,false,false,false,true,true,false,false,false,false,false,false,F43|Y47|K151|D200,,false,false,false,false,TEST_AS_A_SELECTIVE_PROSPECT,LOW,MODERATE,LOW
benzylamine,NCC1=CC=CC=C1,ARYLAMINE,true,false,false,false,true,true,false,false,false,false,false,K151,M40,false,false,false,false,KEEP_AS_NEGATIVE_CONTROL,LOW,LOW,LOW
phenethylamine,NCCC1=CC=CC=C1,ARYLAMINE,true,false,false,false,true,true,false,false,false,false,false,K151,M40,false,false,false,false,KEEP_AS_NEGATIVE_CONTROL,LOW,LOW,LOW
4-nitrobenzenethiol,O=[N+]([O-])C1=CC=C(S)C=C1,ARYL_THIOL,true,true,false,false,false,true,false,false,false,false,false,S149,M40,false,false,false,false,KEEP_AS_NEGATIVE_CONTROL,LOW,LOW,LOW
cysteine,N[C@@H](CS)C(=O)O,AMINO_ACID_THIOL,true,true,false,false,false,true,false,false,false,false,false,S149,M40,false,false,false,false,KEEP_AS_NEGATIVE_CONTROL,LOW,LOW,LOW
netarsudil,CN(CC#CC1=CC=CC=C1)C(=O)C2=CC=CC=C2,AMIDE,false,false,false,true,false,false,false,false,false,true,false,,M40|L145|W195,true,false,true,false,TEST_AS_B_SELECTIVE_PROSPECT,LOW,LOW,MODERATE
BRICS-0003,CC1CCN(C1)C2=NC=CC=N2,HETEROCYCLE,false,false,false,true,false,false,false,false,false,false,false,,F36|M40|L145|W195,true,true,true,false,TEST_AS_B_SELECTIVE_PROSPECT,LOW,LOW,MODERATE
c1c40a919201,COC1=CC=C(C=C1)C2CCNCC2,ARYL_HETEROCYCLE,false,false,false,true,false,false,false,false,false,false,false,,F36|M40|L145|G199,true,false,true,true,TEST_AS_B_SELECTIVE_PROSPECT,LOW,LOW,MODERATE
54af709eba1e,CCOC1=NC=C(C=C1)C2CC2,HETEROAROMATIC,false,false,false,true,false,false,false,false,false,false,false,,M40|L145|W195|G199,true,true,false,true,TEST_AS_B_SELECTIVE_PROSPECT,LOW,LOW,MODERATE
