metric,input_file,exists_on_disk
dcmb_f43_f199_min_distance,/Users/yazan/totah-lab/analysis/dcmb/sam_state/validated/WT_METTL7A_SAM_BOUND.pdb,true
dcmb_f43_f199_min_distance,/Users/yazan/totah-lab/analysis/dcmb/controlled_campaign/family_results.csv,true
dcmb_f43_f199_min_distance,/Users/yazan/totah-lab/analysis/dcmb/controlled_campaign/prepared/7A_WT_SAM_BOUND.pdbqt,true
dcmb_f43_f199_min_distance,/Users/yazan/totah-lab/analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s1.pdbqt,true
dcmb_f43_f199_min_distance,/Users/yazan/totah-lab/analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s7.pdbqt,true
dcmb_f43_f199_min_distance,/Users/yazan/totah-lab/analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s42.pdbqt,true
dcmb_f43_f199_min_distance,/Users/yazan/totah-lab/analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s1.pdbqt,true
dcmb_f43_f199_min_distance,/Users/yazan/totah-lab/analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s7.pdbqt,true
dcmb_f43_f199_min_distance,/Users/yazan/totah-lab/analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s42.pdbqt,true
stage7c_candidate_f43_f199,/Users/yazan/totah-lab/analysis/mettl7-closure/stage7_candidates/stage7b/complete-ab-evidence-matrix.csv,true
stage7c_candidate_f43_f199,/Users/yazan/totah-lab/analysis/mettl7-closure/stage7_candidates/stage7b/pose-families.csv,true
stage7c_candidate_f43_f199,/Users/yazan/totah-lab/analysis/mettl7-closure/stage7_candidates/stage7a/stage7a-subset.csv,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage4/prepared/7A_WT_SAM_BOUND.pdbqt,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage4/prepared/7B_WT_SAM_BOUND.pdbqt,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage4/family_results.csv,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage4/interference_family_matrix.csv,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage4/raw/7A_WT_R_s1.pdbqt,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage4/raw/7A_WT_R_s7.pdbqt,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage4/raw/7A_WT_R_s42.pdbqt,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage4/raw/7A_WT_S_s1.pdbqt,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage4/raw/7A_WT_S_s7.pdbqt,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage4/raw/7A_WT_S_s42.pdbqt,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage4/raw/7B_WT_R_s1.pdbqt,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage4/raw/7B_WT_R_s7.pdbqt,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage4/raw/7B_WT_R_s42.pdbqt,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage4/raw/7B_WT_S_s1.pdbqt,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage4/raw/7B_WT_S_s7.pdbqt,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage4/raw/7B_WT_S_s42.pdbqt,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage12_cavity_chemistry/cavity-facing-atom-map.csv,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage12_cavity_chemistry/aligned-cavity-feature-changes.csv,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage0/superpocket_transfer.json,true
stage12j_tyr47_pi,/Users/yazan/totah-lab/analysis/mettl7-closure/stage3/manifest.json,true
local_cavity_volume,/Users/yazan/totah-lab/analysis/dcmb/tsl_conformational_response/WT_METTL7A_SAM_TSL_relaxed_1.pdb,true
local_cavity_volume,/Users/yazan/totah-lab/analysis/dcmb/tsl_conformational_response/WT_METTL7A_SAM_TSL_relaxed_2.pdb,true
local_cavity_volume,/Users/yazan/totah-lab/analysis/dcmb/tsl_conformational_response/WT_METTL7A_SAM_TSL_relaxed_3.pdb,true
local_cavity_volume,/Users/yazan/totah-lab/analysis/dcmb/tsl_conformational_response/WT_METTL7A_SAM_TSL_relaxed_4.pdb,true
local_cavity_volume,/Users/yazan/totah-lab/analysis/dcmb/tsl_conformational_response/WT_METTL7A_SAM_TSL_relaxed_5.pdb,true
reciprocal_accessible_volume,/Users/yazan/totah-lab/resources/shared-resources/src/main/resources/Q9H8H3/Q9H8H3_TMT1A_HUMAN.pdb,true
reciprocal_accessible_volume,/Users/yazan/totah-lab/experiments/METTL7B-v6_diffdock/target_protein.pdb,true
reciprocal_accessible_volume,/Users/yazan/totah-lab/analysis/dcmb/artifacts/diffdock/DCMB_diffdock_7A_rank1.pdbqt,true
reciprocal_accessible_volume,/Users/yazan/totah-lab/experiments/METTL7B-v6_diffdock/rank2_confidence-0.3576555848121643.sdf,true
reciprocal_accessible_volume,/Users/yazan/totah-lab/analysis/dcmb/reciprocal_mutation/METTL7A_F43L_fixed_backbone.pdb,true
reciprocal_accessible_volume,/Users/yazan/totah-lab/analysis/dcmb/reciprocal_mutation/METTL7B_L43F_fixed_backbone.pdb,true
tsl_nac_geometry,/Users/yazan/totah-lab/analysis/mettl7-closure/stage2/prepared/7A_WT_receptor.pdb,true
tsl_nac_geometry,/Users/yazan/totah-lab/analysis/mettl7-closure/stage2/prepared/7A_WT_SAM_BOUND.pdb,true
tsl_nac_geometry,/Users/yazan/totah-lab/analysis/mettl7-closure/stage2/prepared/7B_WT_receptor.pdb,true
tsl_nac_geometry,/Users/yazan/totah-lab/analysis/mettl7-closure/stage2/prepared/7B_WT_SAM_BOUND.pdb,true
tsl_nac_geometry,/Users/yazan/totah-lab/analysis/mettl7-closure/stage2/prepared/7A_F43L_SAM_BOUND.pdb,true
tsl_nac_geometry,/Users/yazan/totah-lab/analysis/mettl7-closure/stage2/prepared/7A_F199G_SAM_BOUND.pdb,true
tsl_nac_geometry,/Users/yazan/totah-lab/analysis/mettl7-closure/stage2/prepared/7A_F43L_F199G_SAM_BOUND.pdb,true
tsl_nac_geometry,/Users/yazan/totah-lab/analysis/mettl7-closure/stage2/prepared/7B_L43F_SAM_BOUND.pdb,true
tsl_nac_geometry,/Users/yazan/totah-lab/analysis/mettl7-closure/stage2/prepared/7B_G199F_SAM_BOUND.pdb,true
tsl_nac_geometry,/Users/yazan/totah-lab/analysis/mettl7-closure/stage2/prepared/7B_L43F_G199F_SAM_BOUND.pdb,true
tsl_nac_geometry,/Users/yazan/totah-lab/analysis/mettl7-closure/stage0/METTL7A_homologous_197_sphere_SAM_superpocket.pqr,true
tsl_nac_geometry,/Users/yazan/totah-lab/resources/shared-resources/src/main/resources/Q6UX53/fpocket/pockets/pocket2_vert.pqr,true
tsl_nac_geometry,/Users/yazan/totah-lab/analysis/mettl7-closure/stage3/7A_WT/7A_WT_SAM_TSL_1.pdb,true
