uniprot_accession,chain,cys1,cys2,motif,sg_distance_angstrom,cys1_plddt,cys2_plddt,mean_plddt,likely_vicinal_disulfide,filename
O00206,A,390,391,CC,2.017,95.75,96.62,96.19,true,AF-O00206-F1-model_v6.pdb.gz
Q6UWB1,A,284,285,CCC+,2.018,77.88,87.94,82.91,true,AF-Q6UWB1-F1-model_v6.pdb.gz
Q8NAT1,A,436,437,CC,2.021,90.62,88.56,89.59,true,AF-Q8NAT1-F1-model_v6.pdb.gz
Q96AA3,A,490,491,CC,2.030,87.94,82.06,85.00,true,AF-Q96AA3-F1-model_v6.pdb.gz
Q99467,A,387,388,CC,2.035,97.38,97.81,97.59,true,AF-Q99467-F1-model_v6.pdb.gz
O14793,A,137,138,CC,2.036,73.94,83.75,78.84,true,AF-O14793-F1-model_v6.pdb.gz
O95390,A,161,162,CC,2.037,84.75,90.38,87.56,true,AF-O95390-F1-model_v6.pdb.gz
Q9HBW1,A,325,326,CC,2.054,75.00,77.19,76.09,true,AF-Q9HBW1-F1-model_v6.pdb.gz
Q92185,A,85,86,CC,2.055,96.25,97.75,97.00,true,AF-Q92185-F1-model_v6.pdb.gz
Q8NBT3,A,68,69,CC,2.055,85.25,84.12,84.69,true,AF-Q8NBT3-F1-model_v6.pdb.gz
Q96L58,A,321,322,CC,2.057,91.50,90.19,90.84,true,AF-Q96L58-F1-model_v6.pdb.gz
Q16853,A,198,199,CC,2.059,94.56,93.00,93.78,true,AF-Q16853-F1-model_v6.pdb.gz
Q96RD9,A,173,174,CC,2.059,74.88,82.62,78.75,true,AF-Q96RD9-F1-model_v6.pdb.gz
O95391,A,445,446,CC,2.059,86.69,84.69,85.69,true,AF-O95391-F1-model_v6.pdb.gz
P50897,A,45,46,CC,2.061,97.75,97.00,97.38,true,AF-P50897-F1-model_v6.pdb.gz
P0DN25,A,267,268,CC,2.062,81.50,91.50,86.50,true,AF-P0DN25-F1-model_v6.pdb.gz
Q9NS00,A,300,301,CC,2.063,93.06,94.88,93.97,true,AF-Q9NS00-F1-model_v6.pdb.gz
P61647,A,132,133,CC,2.066,94.25,95.94,95.09,true,AF-P61647-F1-model_v6.pdb.gz
O15466,A,110,111,CC,2.071,94.56,95.81,95.19,true,AF-O15466-F1-model_v6.pdb.gz
Q13214,A,53,54,CC,2.072,94.44,95.69,95.06,true,AF-Q13214-F1-model_v6.pdb.gz
P0CG36,A,90,91,CC,2.073,93.38,95.62,94.50,true,AF-P0CG36-F1-model_v6.pdb.gz
Q96EU7,A,270,271,CC,2.073,83.62,91.38,87.50,true,AF-Q96EU7-F1-model_v6.pdb.gz
P41221,A,362,363,CC,2.074,87.00,86.81,86.91,true,AF-P41221-F1-model_v6.pdb.gz
O96014,A,336,337,CC,2.074,88.00,88.12,88.06,true,AF-O96014-F1-model_v6.pdb.gz
P52797,A,166,167,CC,2.078,89.88,88.69,89.28,true,AF-P52797-F1-model_v6.pdb.gz
Q9BRR3,A,332,333,CC,2.082,84.88,86.62,85.75,true,AF-Q9BRR3-F1-model_v6.pdb.gz
P43681,A,225,226,CC,2.083,94.00,94.00,94.00,true,AF-P43681-F1-model_v6.pdb.gz
Q9GZZ6,A,218,219,CC,2.086,89.25,88.62,88.94,true,AF-Q9GZZ6-F1-model_v6.pdb.gz
P52798,A,152,153,CC,2.086,85.75,75.06,80.41,true,AF-P52798-F1-model_v6.pdb.gz
P05543,A,85,86,CC,2.095,95.50,95.12,95.31,true,AF-P05543-F1-model_v6.pdb.gz
