uniprot_accession,chain,cys1,cys2,motif,sg_distance_angstrom,cys1_plddt,cys2_plddt,mean_plddt,likely_vicinal_disulfide,filename
Q86TB3,A,230,231,CC,2.017,24.86,25.17,25.02,true,AF-Q86TB3-F1-model_v6.pdb.gz
O00206,A,390,391,CC,2.017,95.75,96.62,96.19,true,AF-O00206-F1-model_v6.pdb.gz
Q6UWB1,A,284,285,CCC+,2.018,77.88,87.94,82.91,true,AF-Q6UWB1-F1-model_v6.pdb.gz
Q96T88,A,97,98,CC,2.019,37.50,31.58,34.54,true,AF-Q96T88-F1-model_v6.pdb.gz
Q8NAT1,A,436,437,CC,2.021,90.62,88.56,89.59,true,AF-Q8NAT1-F1-model_v6.pdb.gz
Q9H0E9,A,971,972,CC,2.027,31.25,30.27,30.76,true,AF-Q9H0E9-F1-model_v6.pdb.gz
Q8N4Y2,A,379,380,CCC+,2.029,46.66,43.09,44.88,true,AF-Q8N4Y2-F1-model_v6.pdb.gz
Q9P241,A,691,692,CC,2.030,22.00,21.48,21.74,true,AF-Q9P241-F1-model_v6.pdb.gz
Q96AA3,A,490,491,CC,2.030,87.94,82.06,85.00,true,AF-Q96AA3-F1-model_v6.pdb.gz
Q9BY31,A,264,265,CC,2.031,28.17,32.19,30.18,true,AF-Q9BY31-F1-model_v6.pdb.gz
Q9UPW8,A,174,175,CC,2.032,24.09,28.97,26.53,true,AF-Q9UPW8-F1-model_v6.pdb.gz
Q8TF40,A,87,88,CC,2.032,33.28,38.72,36.00,true,AF-Q8TF40-F1-model_v6.pdb.gz
Q9NS68,A,234,235,CC,2.033,38.84,45.28,42.06,true,AF-Q9NS68-F1-model_v6.pdb.gz
Q86YC2,A,755,756,CC,2.034,29.05,27.73,28.39,true,AF-Q86YC2-F1-model_v6.pdb.gz
Q99467,A,387,388,CC,2.035,97.38,97.81,97.59,true,AF-Q99467-F1-model_v6.pdb.gz
O14793,A,137,138,CC,2.036,73.94,83.75,78.84,true,AF-O14793-F1-model_v6.pdb.gz
O95390,A,161,162,CC,2.037,84.75,90.38,87.56,true,AF-O95390-F1-model_v6.pdb.gz
Q9H6R7,A,713,714,CC,2.038,36.28,38.28,37.28,true,AF-Q9H6R7-F1-model_v6.pdb.gz
Q9H019,A,213,214,CC,2.040,43.50,45.03,44.27,true,AF-Q9H019-F1-model_v6.pdb.gz
Q6WBX8,A,410,411,CC,2.040,26.44,26.81,26.63,true,AF-Q6WBX8-F1-model_v6.pdb.gz
O95153,A,552,553,CCC+,2.042,27.23,42.25,34.74,true,AF-O95153-F1-model_v6.pdb.gz
P04035,A,368,369,CC,2.043,30.03,31.88,30.95,true,AF-P04035-F1-model_v6.pdb.gz
Q16827,A,620,621,CC,2.043,72.88,64.75,68.81,true,AF-Q16827-F1-model_v6.pdb.gz
Q9ULL8,A,871,872,CC,2.044,33.47,33.56,33.52,true,AF-Q9ULL8-F1-model_v6.pdb.gz
Q53H80,A,108,109,CC,2.045,35.06,32.94,34.00,true,AF-Q53H80-F1-model_v6.pdb.gz
A8MX34,A,150,151,CC,2.047,36.91,40.06,38.48,true,AF-A8MX34-F1-model_v6.pdb.gz
Q5T5J6,A,328,329,CC,2.048,23.98,24.23,24.11,true,AF-Q5T5J6-F1-model_v6.pdb.gz
Q9BYR2,A,90,91,CC,2.050,30.97,38.59,34.78,true,AF-Q9BYR2-F1-model_v6.pdb.gz
O14917,A,909,910,CC,2.052,35.56,34.03,34.80,true,AF-O14917-F1-model_v6.pdb.gz
Q6VB84,A,371,372,CC,2.052,37.69,38.28,37.98,true,AF-Q6VB84-F1-model_v6.pdb.gz
Q5HYC2,A,584,585,CC,2.054,28.81,34.69,31.75,true,AF-Q5HYC2-F1-model_v6.pdb.gz
Q9HBW1,A,325,326,CC,2.054,75.00,77.19,76.09,true,AF-Q9HBW1-F1-model_v6.pdb.gz
Q86Z02,A,1024,1025,CC,2.054,27.78,28.42,28.10,true,AF-Q86Z02-F1-model_v6.pdb.gz
Q92185,A,85,86,CC,2.055,96.25,97.75,97.00,true,AF-Q92185-F1-model_v6.pdb.gz
Q8TF40,A,864,865,CC,2.055,24.08,24.31,24.20,true,AF-Q8TF40-F1-model_v6.pdb.gz
Q9NRH1,A,185,186,CC,2.055,25.45,28.73,27.09,true,AF-Q9NRH1-F1-model_v6.pdb.gz
A5A3E0,A,28,29,CC,2.055,23.67,26.11,24.89,true,AF-A5A3E0-F1-model_v6.pdb.gz
Q8NBT3,A,68,69,CC,2.055,85.25,84.12,84.69,true,AF-Q8NBT3-F1-model_v6.pdb.gz
Q9NUC0,A,349,350,CC,2.057,49.88,51.69,50.78,true,AF-Q9NUC0-F1-model_v6.pdb.gz
Q96L58,A,321,322,CC,2.057,91.50,90.19,90.84,true,AF-Q96L58-F1-model_v6.pdb.gz
Q9Y3M8,A,215,216,CC,2.059,19.28,21.39,20.34,true,AF-Q9Y3M8-F1-model_v6.pdb.gz
Q16853,A,198,199,CC,2.059,94.56,93.00,93.78,true,AF-Q16853-F1-model_v6.pdb.gz
Q96EL1,A,62,63,CC,2.059,45.34,45.84,45.59,true,AF-Q96EL1-F1-model_v6.pdb.gz
Q96RD9,A,173,174,CC,2.059,74.88,82.62,78.75,true,AF-Q96RD9-F1-model_v6.pdb.gz
O95391,A,445,446,CC,2.059,86.69,84.69,85.69,true,AF-O95391-F1-model_v6.pdb.gz
P50897,A,45,46,CC,2.061,97.75,97.00,97.38,true,AF-P50897-F1-model_v6.pdb.gz
P0DN25,A,267,268,CC,2.062,81.50,91.50,86.50,true,AF-P0DN25-F1-model_v6.pdb.gz
Q9NS00,A,300,301,CC,2.063,93.06,94.88,93.97,true,AF-Q9NS00-F1-model_v6.pdb.gz
Q5TA78,A,98,99,CC,2.063,44.25,49.41,46.83,true,AF-Q5TA78-F1-model_v6.pdb.gz
Q92628,A,859,860,CCC+,2.066,30.19,29.67,29.93,true,AF-Q92628-F1-model_v6.pdb.gz
Q9UJK0,A,283,284,CC,2.066,32.34,30.58,31.46,true,AF-Q9UJK0-F1-model_v6.pdb.gz
P22059,A,343,344,CC,2.066,32.53,30.20,31.37,true,AF-P22059-F1-model_v6.pdb.gz
P61647,A,132,133,CC,2.066,94.25,95.94,95.09,true,AF-P61647-F1-model_v6.pdb.gz
Q6P9F0,A,497,498,CC,2.067,32.00,32.88,32.44,true,AF-Q6P9F0-F1-model_v6.pdb.gz
Q6GV28,A,53,54,CC,2.069,58.28,51.69,54.98,true,AF-Q6GV28-F1-model_v6.pdb.gz
O15520,A,21,22,CCC+,2.069,45.47,46.62,46.05,true,AF-O15520-F1-model_v6.pdb.gz
O15466,A,110,111,CC,2.071,94.56,95.81,95.19,true,AF-O15466-F1-model_v6.pdb.gz
Q13214,A,53,54,CC,2.072,94.44,95.69,95.06,true,AF-Q13214-F1-model_v6.pdb.gz
Q8WXX7,A,284,285,CC,2.073,31.20,32.16,31.68,true,AF-Q8WXX7-F1-model_v6.pdb.gz
P0CG36,A,90,91,CC,2.073,93.38,95.62,94.50,true,AF-P0CG36-F1-model_v6.pdb.gz
Q96EU7,A,270,271,CC,2.073,83.62,91.38,87.50,true,AF-Q96EU7-F1-model_v6.pdb.gz
P41221,A,362,363,CC,2.074,87.00,86.81,86.91,true,AF-P41221-F1-model_v6.pdb.gz
Q9Y4D1,A,16,17,CC,2.074,30.25,33.22,31.73,true,AF-Q9Y4D1-F1-model_v6.pdb.gz
O96014,A,336,337,CC,2.074,88.00,88.12,88.06,true,AF-O96014-F1-model_v6.pdb.gz
Q9BYR0,A,64,65,CC,2.075,25.75,27.03,26.39,true,AF-Q9BYR0-F1-model_v6.pdb.gz
P13164,A,50,51,CC,2.075,49.97,53.03,51.50,true,AF-P13164-F1-model_v6.pdb.gz
Q8IUC1,A,60,61,CC,2.076,29.12,33.25,31.19,true,AF-Q8IUC1-F1-model_v6.pdb.gz
P49682,A,37,38,CC,2.078,54.50,52.09,53.30,true,AF-P49682-F1-model_v6.pdb.gz
P52797,A,166,167,CC,2.078,89.88,88.69,89.28,true,AF-P52797-F1-model_v6.pdb.gz
P26022,A,317,318,CC,2.081,66.62,71.69,69.16,true,AF-P26022-F1-model_v6.pdb.gz
Q9BRR3,A,332,333,CC,2.082,84.88,86.62,85.75,true,AF-Q9BRR3-F1-model_v6.pdb.gz
P43681,A,225,226,CC,2.083,94.00,94.00,94.00,true,AF-P43681-F1-model_v6.pdb.gz
Q9GZZ6,A,218,219,CC,2.086,89.25,88.62,88.94,true,AF-Q9GZZ6-F1-model_v6.pdb.gz
P52798,A,152,153,CC,2.086,85.75,75.06,80.41,true,AF-P52798-F1-model_v6.pdb.gz
P05543,A,85,86,CC,2.095,95.50,95.12,95.31,true,AF-P05543-F1-model_v6.pdb.gz
