uniprot_accession,length,cc_pair_count,cc_start_positions,header
A0A1B0GVY7,632,1,617,tr|A0A1B0GVY7|A0A1B0GVY7_HUMAN Golgin subfamily A conserved domain-containing protein OS=Homo sapiens OX=9606 PE=4 SV=3
O00458,451,1,197,sp|O00458|IFRD1_HUMAN Interferon-related developmental regulator 1 OS=Homo sapiens OX=9606 GN=IFRD1 PE=1 SV=4
O15371,548,2,195;437,sp|O15371|EIF3D_HUMAN Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1
P04003,597,1,364,sp|P04003|C4BPA_HUMAN C4b-binding protein alpha chain OS=Homo sapiens OX=9606 GN=C4BPA PE=1 SV=2
P78367,333,1,50,sp|P78367|NKX32_HUMAN Homeobox protein Nkx-3.2 OS=Homo sapiens OX=9606 GN=NKX3-2 PE=1 SV=2
Q14CX7,972,1,364,"sp|Q14CX7|NAA25_HUMAN N-alpha-acetyltransferase 25, NatB auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA25 PE=1 SV=1"
Q3SYF9,63,1,48,sp|Q3SYF9|KR197_HUMAN Keratin-associated protein 19-7 OS=Homo sapiens OX=9606 GN=KRTAP19-7 PE=1 SV=1
Q5VTJ3,777,2,139;509,sp|Q5VTJ3|KLD7A_HUMAN Kelch domain-containing protein 7A OS=Homo sapiens OX=9606 GN=KLHDC7A PE=1 SV=5
Q6ZWJ8,1568,16,188;248;307;365;480;539;596;656;720;777;836;954;1012;1080;1140;1204,sp|Q6ZWJ8|KCP_HUMAN Kielin/chordin-like protein OS=Homo sapiens OX=9606 GN=KCP PE=1 SV=3
Q76I76,1423,1,558,sp|Q76I76|SSH2_HUMAN Protein phosphatase Slingshot homolog 2 OS=Homo sapiens OX=9606 GN=SSH2 PE=1 SV=1
Q8IWT3,2517,3,1076;2087;2092,sp|Q8IWT3|CUL9_HUMAN Cullin-9 OS=Homo sapiens OX=9606 GN=CUL9 PE=1 SV=2
Q8IZC4,609,3,179;274;401,sp|Q8IZC4|RTKN2_HUMAN Rhotekin-2 OS=Homo sapiens OX=9606 GN=RTKN2 PE=1 SV=1
Q8NBT3,493,1,68,sp|Q8NBT3|TM145_HUMAN Transmembrane protein 145 OS=Homo sapiens OX=9606 GN=TMEM145 PE=1 SV=2
Q8NER5,493,1,86,sp|Q8NER5|ACV1C_HUMAN Activin receptor type-1C OS=Homo sapiens OX=9606 GN=ACVR1C PE=1 SV=1
Q8TD26,2715,3,744;1630;1791,sp|Q8TD26|CHD6_HUMAN ATP-dependent chromatin remodeler CHD6 OS=Homo sapiens OX=9606 GN=CHD6 PE=1 SV=4
